obligates,debt_firms,Brent,MIACR,M2,paid_services,PCA_1,PCA_2,PCA_3,inflation
6.2005,16.715374400920957,127.86925599981164,3.669644028941069,10.299737512748937,20.198971476403468,-2.38927425234445,-1.0935441776769705,0.3379998294486368,0.39000000000000057
6.3854999999999995,16.716097683095512,119.12908152732811,4.924141728890584,10.29726857576003,20.209927175505893,-1.835012115708869,-0.5681186605109393,0.4203203681279908,0.4899999999999949
7.402380952380952,16.731008547161753,114.1821288363665,6.162357415413649,10.303336009328328,20.203407305004315,-1.668447187014692,-0.1205953459056379,0.6001743105085621,0.8199999999999932
7.497727272727272,16.74883835169388,108.95048956657885,6.8436424411378045,10.301296792895178,20.218118996849977,-1.3156189747008138,0.11223366988531375,0.8051622058942005,0.8700000000000045
7.954999999999999,16.76273444514574,103.42165528955744,7.905316198907827,10.302300226664606,20.23278411671221,-1.0325576663904084,0.04476709590742905,0.6258217317849527,0.8499999999999943
7.882380952380952,16.77317210088155,100.57370197887978,8.472061849823023,10.304521026429278,20.21216500673631,-0.4888098218438535,-0.02367887286399984,0.6650264500748195,0.769999999999996
8.527391304347827,16.786695239661878,97.59039896093098,9.194077518314938,10.312337589563455,20.21043032681216,-0.8075657011056304,0.08061820642792682,0.8421625699956132,0.6200000000000045
8.588095238095239,16.789150840627936,95.8287280467331,9.622103986054654,10.315655567558558,20.22243134495168,-0.45961791388092427,-0.14414705056942564,0.6659036329190812,0.6400000000000006
8.715454545454547,16.800052098183922,91.27392888527118,9.824022236395745,10.320321294773708,20.23908235559235,-0.203918606919705,0.24776631783301017,1.0455938545524261,0.8599999999999994
9.170434782608694,16.81518500094761,83.9135749402092,10.187246278027992,10.329726105156992,20.251951322778005,0.004501308969206356,0.34816405009606577,0.7382721434711929,0.7999999999999972
10.4095,16.829442949992593,79.0220078140513,11.107633660921254,10.328638571531446,20.257054470223572,0.5767528535273426,0.7745733801669573,0.8864628265533514,1.019999999999996
14.746521739130436,16.84368577160375,70.43591259122697,13.441043475912034,10.332495858374944,20.261232357340656,0.5764816083572871,1.084124784407404,1.0526058966488916,2.549999999999997
14.117272727272727,16.838484290598824,61.86738801689402,15.239348865599823,10.319894942568142,20.281895098323826,1.4492067832654112,1.4998674127195535,1.4082689289205703,3.519999999999996
13.0695,16.82910956657582,65.58215431302993,14.30668034763765,10.337385260879607,20.280444376650706,1.430816798291421,0.7453540759995854,1.300041152595557,2.3499999999999943
12.032727272727271,16.825836720782437,60.916171205370425,13.706272241489234,10.34014834741774,20.28535738545591,1.3710731604324142,0.18770353365727213,1.0918836186136838,1.4699999999999989
10.783181818181818,16.830821806355118,59.92473345998984,13.632844233484768,10.347539000268387,20.28284657358657,1.0873086124219935,0.07652646874634854,1.2430905553921028,0.7999999999999972
10.567142857142857,16.826558741869842,59.00421019190033,12.624233703076543,10.360701102184581,20.278129730514145,1.23781078384123,0.11724585801716772,1.5177679860095554,0.5499999999999972
10.290909090909093,16.832756396286616,54.035555138873825,12.662296582121767,10.364884418188609,20.29754612501631,0.9021752131163078,0.10837113879669845,1.398674644177444,0.4399999999999977
10.371739130434785,16.83895954981497,50.907918990742246,12.230437510625269,10.369001082394233,20.31025350151646,1.5399110336851636,0.24347357384613907,1.6428771992065085,0.37999999999999545
10.981904761904762,16.844420562965944,43.41866744728042,12.06771232689831,10.376872855400276,20.306722690982188,1.9454821702900567,0.2891554039678089,1.678153134241248,0.7800000000000011
10.54181818181818,16.852490047619007,43.43338043269526,12.397249842897923,10.386345946852256,20.31910222116899,1.6010079108774788,-0.05189175318633886,1.5162231848137924,0.7999999999999972
10.296363636363637,16.86500115771695,45.176941276216695,12.410810217129367,10.386764642598308,20.326519993846684,1.2820663431697268,-0.04918618877199135,1.781073196200999,0.6899999999999977
10.528571428571428,16.86780353621013,44.38267984256555,12.017578040287454,10.402199862435069,20.328835276919094,1.2167318219652048,-0.48066387287087436,1.889915753422063,0.5699999999999932
10.305652173913044,16.854732113662074,43.304787718417714,9.813536554105198,10.414258957849395,20.34091920316939,1.2769921405385611,-0.5963120310607858,1.9024788727697917,0.5600000000000023
9.90047619047619,16.86561552717912,39.59851272799445,9.883505923948741,10.432117931863575,20.317634243020436,1.0567790235735233,-0.3801610238522493,1.2965971971723596,0.8199999999999932
9.507619047619048,16.86741411664027,37.13573836058929,10.26164217296996,10.429298051348814,20.344008253130042,0.2445425433443852,-0.1124057837908257,1.638664813782373,0.6599999999999966
9.694347826086956,16.871355463466724,41.77654375895175,10.185238413385807,10.436695343207234,20.341620410715336,0.9513569607218291,-0.29150976026977515,1.6755249156898924,0.6200000000000045
9.577142857142857,16.878134503697954,41.19808416980251,10.277906705582463,10.455983528127755,20.349813477072566,0.7528415661619522,-0.40613647410456183,1.2786194778478353,0.5
9.728181818181817,16.876699852580604,42.516411497688466,10.9565570608106,10.462270018043965,20.340804109362633,0.7753124255582301,-0.4651724249621013,1.3640251938514376,0.45000000000000284
9.532272727272726,16.882630406745395,44.317914079619435,10.713065064302224,10.476767381210214,20.362551681301078,0.4251701373704664,-0.322397080070264,1.5875520211342402,0.4099999999999966
9.191428571428572,16.8867234718461,42.48590941296687,10.778312516736486,10.481728933869967,20.377619923261793,0.3960189260850898,-0.7039507830168125,0.9898139902669825,0.3400000000000034
9.01695652173913,16.881100928589582,45.31775749640221,11.036484883034134,10.493804354276287,20.392448519058185,-0.45656835442354715,-0.3678950430349538,1.4279531986424425,0.4000000000000057
