paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
103269035.6,70541,100.36,15.6028368794326,14.473684210526297,11.1842105263158,11.1842105263158,8.55263157894737,2022-08-31,100.45,7.938695652173913,12.4884,70825.4,7.242608695652173
103330476.9,70430,100.54,2.7027027027027,32.23684210526319,2.63157894736842,-6.62251655629139,16.4473684210526,2022-09-30,89.76,7.678181818181818,12.8386,73333.3,7.397272727272727
108164450.2,70532,100.66,-18.2432432432432,18.4210526315789,-17.7631578947368,0.0,12.582781456953597,2022-10-31,93.33,7.672380952380952,12.2257,75096.8,7.745238095238095
101965223.7,72064,100.26,-7.534246575342469,15.1315789473684,-8.55263157894737,-8.783783783783779,13.9072847682119,2022-11-30,91.42,7.314285714285714,12.1275,75636.5,7.7727272727272725
103873068.0,76392,99.73,6.29370629370629,19.078947368421098,1.97368421052632,-28.476821192053,17.1052631578947,2022-12-31,80.92,7.310454545454546,11.6154,76873.3,7.481363636363636
105595753.6,77526,100.55,-39.3103448275862,16.883116883116898,-35.7142857142857,26.6233766233766,17.532467532467503,2023-01-31,82.5,6.997647058823529,12.1595,82388.0,7.749545454545455
112579876.1,76625,100.2,5.6000000000000005,26.470588235294098,2.20588235294118,28.1481481481481,22.0588235294118,2023-02-28,82.59,7.113333333333333,10.7132,82221.7,7.975499999999999
107806111.2,79894,100.61,27.210884353741502,28.205128205128197,24.3589743589744,35.4838709677419,17.9487179487179,2023-03-31,78.43,7.354090909090909,10.3542,83955.9,9.001304347826087
115091839.5,81975,100.45,14.8648648648649,33.5443037974684,13.9240506329114,29.411764705882398,21.153846153846196,2023-04-30,84.64,7.1594999999999995,10.8053,84813.4,10.9725
116330595.1,79053,100.51,13.0718954248366,26.582278481012697,10.7594936708861,28.387096774193502,20.253164556962,2023-05-31,75.47,7.251,10.1907,84636.0,12.426521739130434
114018199.3,80520,100.59,23.8993710691824,30.4347826086957,25.0,20.625,20.625,2023-06-30,74.84,7.331904761904762,11.0586,86197.3,12.41590909090909
115105501.9,80938,100.13,16.9811320754717,31.6770186335404,14.9068322981366,21.7391304347826,31.055900621117996,2023-07-31,80.11,7.827142857142857,11.5194,87276.8,12.063333333333334
115026255.2,76936,100.41,3.75,30.246913580246897,5.625,3.125,27.950310559006198,2023-08-31,86.15,10.331304347826087,11.7208,88294.0,12.789565217391305
125238659.1,74712,100.9,8.641975308641982,34.35582822085889,8.641975308641982,8.80503144654088,26.086956521739097,2023-09-30,93.72,12.28095238095238,11.165,90110.9,13.404761904761905
129877219.6,74496,100.82,6.25,29.629629629629598,8.02469135802469,0.0,21.7391304347826,2023-10-31,90.6,13.076818181818181,12.1777,90597.3,14.135454545454547
125290029.0,75552,101.07,,,,,,,,,,,
128322814.4,76873,100.41,,,,,,,,,,,
131055814.4,77436,100.39,,,,,,,,,,,
138261720.3,77981,100.41,,,,,,,,,,,
130571873.9,78841,100.52,,,,,,,,,,,
