inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2
100.34,-40.4074702886248,4.84652665589661,-18.3574879227053,15.714285714285698,13.280000000000001,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6
100.49,-1.87393526405451,18.2108626198083,-3.36538461538462,20.952380952381,18.6900958466454,2014-02-28,108.9,5.9935,11.795154185022026,29861.2
100.67,10.3565365025467,16.2162162162162,1.11642743221691,20.4113924050633,12.974683544303799,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0
100.63,6.44067796610169,19.145569620253198,3.02066772655008,18.483412322274898,15.2996845425868,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3
100.75,1.0273972602739698,14.4,-2.2364217252396204,11.9617224880383,12.8775834658188,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0
100.49,2.9109589041095902,11.6987179487179,1.7944535073409498,14.2405063291139,13.8755980861244,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8
100.55,1.8803418803418799,11.9808306709265,-0.635930047694754,21.3036565977742,11.783439490445899,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1
100.63,-2.92598967297762,19.6141479099678,-0.32051282051282104,19.4620253164557,12.974683544303799,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3
100.7,9.78077571669477,20.545746388442996,4.48,11.2519809825674,12.995245641838398,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7
100.68,-3.05084745762712,21.3938411669368,3.5426731078905,7.32484076433121,18.6900958466454,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6
100.57,-16.0136286201022,17.0178282009724,-7.467532467532469,0.16155088852988703,23.2520325203252,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2
101.98,12.157534246575299,26.504065040650396,3.7277147487844395,-5.331179321486269,25.6077795786062,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9
103.72,-41.801801801801794,21.308724832214796,-22.7805695142379,10.0,20.0996677740864,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7
101.82,-1.42602495543672,27.303754266211598,-8.84353741496599,14.8333333333333,17.5675675675676,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7
101.09,7.76014109347443,29.729729729729698,-2.71186440677966,10.924369747899199,13.682432432432398,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0
100.63,-9.76909413854352,21.1965811965812,-5.64102564102564,11.409395973154401,13.781512605041998,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8
100.2,-5.58558558558559,24.1852487135506,-10.9965635738832,11.6357504215852,15.008431703204,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9
99.82,5.565529622980249,20.934256055363296,-4.52961672473868,8.73949579831933,14.1414141414141,2015-06-30,61.48,12.503333333333334,13.9452,31820.4
100.32,3.2667876588021802,20.898100172711597,-1.54905335628227,14.957983193277299,10.6239460370995,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3
100.56,2.8673835125447997,25.4237288135593,-3.7351443123938903,10.0,11.2227805695142,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5
100.61,2.33393177737882,34.2419080068143,-2.40137221269297,5.36013400335008,11.2984822934233,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0
100.56,-2.7322404371584703,22.6480836236934,-7.15532286212914,1.88679245283019,10.8996539792388,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5
100.64,-10.8986615678776,17.690875232774697,-9.31098696461825,0.18315018315018297,13.6029411764706,2015-11-30,44.27,11.425,16.443444730077122,32161.0
100.44,20.5533596837945,32.4577861163227,0.5597014925373129,-5.38033395176252,15.241635687732298,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0
100.56,-42.4628450106157,15.976331360946698,-23.1225296442688,10.136452241715402,10.15625,2016-01-31,30.7,11.017333333333333,15.74,35179.7
100.84,5.59006211180124,21.2475633528265,-6.2015503875969,14.4230769230769,8.84615384615385,2016-02-29,32.18,10.8425,14.74,33966.5
100.72,7.15789473684211,25.147347740668,-3.89863547758285,16.116504854368902,9.10852713178295,2016-03-31,38.21,10.94047619047619,14.5987,34309.6
100.31,-5.07726269315673,21.5982721382289,-7.478632478632479,15.433403805496798,10.4033970276008,2016-04-30,41.58,10.732857142857142,13.6,34689.4
100.16,-8.48623853211009,13.274336283185798,-4.81400437636761,14.285714285714299,11.353711790392998,2016-05-31,46.74,11.063157894736841,14.1881,35105.5
100.26,-0.43859649122807,17.27078891258,-5.0955414012738895,16.9811320754717,11.6033755274262,2016-06-30,48.25,10.639047619047618,14.2875,35642.9
100.42,-5.54323725055432,17.748917748917698,-5.3763440860215095,16.595744680851098,6.83760683760684,2016-07-31,44.95,10.37904761904762,12.5623,35856.9
100.35,0.8869179600886921,16.1290322580645,0.0,16.8803418803419,8.154506437768239,2016-08-31,45.84,10.339565217391305,14.2065,36031.7
100.36,0.904977375565611,24.507658643326,2.4017467248908297,10.6060606060606,8.18965517241379,2016-09-30,46.57,10.238636363636363,12.3462,36169.6
100.26,-1.8518518518518499,18.041237113402097,1.55038759689922,1.7766497461928898,11.1675126903553,2016-10-31,49.52,10.323333333333332,13.677378,36148.8
