,Date,infl_rus,MIACR,Infl_exp,M2,Brent,ibk
0,2014-01-31,0.39000000000000057,6.056470588235294,13.037735849056604,31155.6,108.12,6.52346855785422
1,2014-02-28,0.4899999999999949,5.9935,11.795154185022026,29861.2,108.9,6.16308649881293
2,2014-03-31,0.8199999999999932,7.845000000000001,11.522132796780683,30169.0,107.48,6.07046775896592
3,2014-04-30,0.8700000000000045,7.874545454545455,12.67274472168906,29519.3,107.76,5.46918903497533
4,2014-05-31,0.8499999999999943,8.214736842105264,11.720956719817767,29879.0,109.54,6.26156302871641
5,2014-06-30,0.769999999999996,8.233157894736843,11.348780487804879,29890.8,111.8,4.24861867194619
6,2014-07-31,0.6200000000000045,8.172173913043478,11.830396475770925,30073.1,106.77,4.65473935628128
7,2014-08-31,0.6400000000000006,7.877142857142856,12.459183673469388,30178.3,101.61,5.80144915592538
8,2014-09-30,0.8599999999999994,7.949090909090909,13.817269076305221,30338.7,97.09,3.18813668922107
9,2014-10-31,0.7999999999999972,8.240434782608697,13.146153846153846,30297.6,87.43,4.58264498053262
10,2014-11-30,1.019999999999996,10.211111111111112,15.462264150943396,29831.2,79.44,2.676451951888
11,2014-12-31,2.549999999999997,15.468695652173912,16.57123287671233,30141.9,62.34,-0.238533864060742
12,2015-01-31,3.519999999999996,16.964666666666666,18.072327044025158,31615.7,47.76,0.349488846452857
13,2015-02-28,2.3499999999999943,15.116315789473683,15.659763313609467,31033.7,58.1,-2.51694400683394
14,2015-03-31,1.4699999999999989,14.902857142857142,13.967980295566502,31225.0,55.89,-1.63469345642423
15,2015-04-30,0.7999999999999972,14.357727272727272,14.32905982905983,31028.8,59.52,-1.38537159175516
16,2015-05-31,0.5499999999999972,12.828333333333333,14.994845360824742,31696.9,64.08,0.71691330957529
17,2015-06-30,0.4399999999999977,12.503333333333334,13.9452,31820.4,61.48,-0.745907731227419
18,2015-07-31,0.37999999999999545,11.524347826086956,14.76112759644,31936.3,56.56,-0.361035201359442
19,2015-08-31,0.7800000000000011,10.858095238095238,16.007082152974505,32072.5,46.52,-1.48649063989706
20,2015-09-30,0.7999999999999972,11.146363636363636,15.260416666666666,32361.0,47.62,-2.73643625850613
21,2015-10-31,0.6899999999999977,11.14090909090909,15.84010152284264,32052.5,48.43,-1.49352315806169
22,2015-11-30,0.5699999999999932,11.425,16.443444730077122,32161.0,44.27,-0.602129794788397
23,2015-12-31,0.5600000000000023,11.066521739130435,16.714285714285715,32745.0,38.01,-1.72042842931592
