unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента валютного канала,Компонента ожидания,Компонента предложения,Компонента рыночной конъюнктуры,Компонента спроса,inflation
-0.025106994186285814,0.7800000000000011,5.9935,0.1849999999999996,0.0006220188161449869,0.005373044328141674,0.009461325574378066,-0.01464416540984459,-0.005796069413735339,0.19689829808529705,-0.045597137379023635,-3.2644679713965674,-0.9753269963558092,0.6509394930379302,0.32940473084444866,1.0065
-0.03582349662423012,-1.4200000000000017,7.845000000000001,1.0168809523809523,-0.0006027313125009925,-0.0578372933075979,0.009235467434551836,0.0023410297614354647,-0.0003022387190867448,-0.37834618782516927,-0.6205991946649145,-1.172840914519741,-1.5058516564436553,0.12425461211558618,0.15094166105480103,1.0089
0.07562534748130623,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.011182344380573639,0.005700394802941489,-0.04053311682195293,-0.020380831888768824,-0.010493322586107467,-0.1215773555440802,-0.8773175863218277,-0.5462864098634316,-1.8612396275244745,0.4248186273866107,1.146870835531853,1.011
-0.028075945740460684,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.011820443729014585,0.0014220563240918693,0.019757587296563628,-0.017314909940672862,-0.021093513802442843,0.4470570661050389,-0.7580145988795244,-0.3447098146076008,-0.563888360753872,-0.24757839440164886,-0.2941995442978304,1.0095999999999998
0.00021691520476929682,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.009894490053028449,-0.03430826074300697,-0.029850846878863635,-0.0025849972569282897,-0.017018507247776427,-0.8706719494241308,-0.15010576319823982,-1.355755876567648,-0.15564444044323864,-0.2543423569738285,-0.26654360209400313,1.0056
0.12538957306157195,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.002043451836357235,-0.0006984651381696239,0.02269336763006713,-0.008041430477987888,-0.022546746456109545,0.2752327491306531,-0.7391261049369797,-0.3001049375549477,-0.929641515955287,-0.11679792978308602,-0.06376621483435163,1.004
0.12574493749073068,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.00743793285942651,0.0018092720832445508,-0.017595888662334858,-0.01054090179223266,-0.013404089864097912,0.4113733216884475,0.5906772433643512,-1.209150910254356,-0.27450555511783953,1.5391003350416914,-1.0826592945948992,1.0058
-0.1345294956212144,-4.519999999999996,7.949090909090909,0.127359307359308,-0.00538876084914186,-0.0023875416250671577,-0.006574191571262489,0.0032128743273567295,-0.013989182907632625,0.34215919184688015,0.622330908484131,-0.6497070744041381,0.08687998512966673,-1.1273556806157328,-0.3229206245050152,1.0083
-0.043241530098308,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0006022832121335142,0.012922510545568144,0.006461728396217836,-0.00381578016603612,-0.01437737620230628,0.8137411325304194,2.3814503119232273,-0.13391502421350268,-0.8975639411714985,0.8320826709621624,1.3173164857332216,1.0053
0.020626600714163112,-7.990000000000009,10.211111111111112,1.239065217391305,-0.011751059496855731,-0.01818362580510602,-0.008455802997874073,0.01039998869080705,-0.010848084085143483,1.5156394024068771,3.874579130849145,0.3664035511214685,0.35723130726590324,0.1685729209389818,-0.9174525824310916,1.0070000000000001
-1.8889289503665196e-05,-17.099999999999994,15.468695652173912,4.337021739130437,-0.007351987524451431,-0.008471597967581346,0.002910200098416027,0.029679654477828166,-0.007569578677797395,2.707496641504323,2.8895871164384603,0.44600087422970264,-0.27959999117680634,-1.2629431166950456,0.1972660719079439,1.0254
0.014754916678402008,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.016245180568061457,-0.006309698176069745,-0.007775113809039169,-0.05660076038484618,-0.021697942588863484,1.8387193777122934,0.21414754598164704,2.6198607483453755,-2.1416254414179163,0.961841769398573,-0.07131769817789078,1.0418
0.04274766132184782,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.017522365375715054,-0.02899636129961536,-0.042394769163552226,0.007906313283637445,-0.03507879034675554,-0.6685111142411684,0.10520976734237311,2.805039225054554,-0.14991640653997323,-1.4216419490405325,-0.08453440466819281,1.0176
-0.07493465955307177,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.01447886074603666,0.0804260199086606,-0.020521075723333837,-0.023746453130627287,-0.03386384499678208,0.06779925622227667,0.9335882876154402,0.7951086305259963,0.16278935272401834,0.6511404622915241,0.17160296800043698,1.0136
0.044308309573321436,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.006035991362432824,-0.028738610123093977,0.04791831507255395,0.026397040469827715,-0.026190394561751873,-0.9176017700978006,0.6457655267937191,1.000338762932829,0.08468161130869387,-0.97092873668655,0.22192894905379365,1.0072
0.033920680576442264,4.559999999999995,12.828333333333331,-0.21603896103896147,0.004273870913360511,-0.011486231445742234,-0.1027810814403125,0.015435566500308084,0.001620911008586745,0.29414117885561636,1.0948113114040512,0.3397847733466898,0.21746249562899586,0.6208359954289973,0.7759513230049316,1.0062
-0.07525746218359397,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0033146249146067674,0.0004795017055077011,0.07277384425299083,-0.008221492754884707,-0.01759415872162151,0.2517294873287663,0.8875250482999762,0.6833125811837927,-0.14747925675238482,1.0052022705218238,-0.2928946652473661,1.0085
-0.012687869044728517,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.007439710117788323,-0.017657647700422885,-0.047041255724153075,0.004525125628187965,0.0014051804969490433,0.9147731063073576,1.8534907184439633,-0.5040327441634088,-0.10775558677523044,-0.7830352200995906,-0.44612305312239176,1.0042
