unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента рыночной конъюнктуры,Компонента денежного рынка,Компонента предложения,Компонента спроса,Компонента ожидания,Компонента валютного канала,inflation
-0.03145397619215429,0.7800000000000011,5.9935,0.1849999999999996,0.00037833240941154145,0.007510477931150561,0.012460952761294664,0.03042948142637414,0.029365042039815492,1.4183701146304168,0.04788990302659252,0.8021387649136998,-0.8585755211890913,0.14095666324007988,-0.03137565658342569,1.0037
0.03290536988185677,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.0010262713905078158,0.0032518296115675582,0.00011549117102127582,-0.001586788976023712,0.030084026654270346,0.5425933065675806,0.41371648687747314,-0.3927849855938842,-0.7270694813780552,0.27529187970832497,-0.2587027010706678,1.0045
-0.033917090079126744,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.012242434944269576,-0.014039289640006558,0.006456311762898181,-0.012246973305305886,0.0136564214374566,-0.2187893701205144,-0.2504771827110893,-0.12936528355602483,0.6189809251609889,0.4543007143568566,0.04470554622196083,1.01
0.041123030014236395,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.011602722561169898,0.015335585774227667,-0.013944279194900489,-0.0072558601770964515,-0.003609751358089497,0.32305661676988134,-0.6896399772308828,-0.71835487976303,0.4575166777433989,0.3271509103007075,-0.03674101230744693,1.0112
-0.02792768035530535,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.014326448514943024,-0.039915853434726145,-0.005356790938922273,-0.0039719058056526535,-0.0032077629210398584,1.015444698395334,-0.2327983261529435,-0.02409939023829628,0.1110319556460242,0.018243949071305866,0.07355711949482618,1.0062
0.07130931553639808,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.0036602235437168673,0.044586935280854334,-0.0034399650642971125,-0.008352459546458135,0.028564986327577202,0.05799322848261683,0.167933844422869,0.5122676611721578,-0.052408643952699806,0.4361663847447138,0.39276179143257495,1.0099
0.043450667930335585,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.011074871642460238,-0.01737895585866589,-0.009316329815094448,-0.008105689915200998,0.013124361029735354,0.4271277681736564,0.9165049754268688,-0.3000363755721673,-0.33163346876588007,0.33781211838781333,-0.8781393395357462,1.0093
-0.046937414040574055,-4.519999999999996,7.949090909090909,0.127359307359308,-0.007271666185934222,0.00017103702777809815,-0.009320876835159808,0.0069184888714168835,0.0014089111305555235,0.41919534168797884,0.238418688928042,-0.4298825404536695,-0.01782384694661174,0.3723298880007795,-0.12857441698210295,1.0139
0.00573656304969572,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.004302781088505014,-0.009062037546208046,-0.0010802285789939248,-0.011407040063346585,0.0018724135253336271,4.189224075856374,0.9508038290094515,1.1038687280808863,1.2283974934223214,1.1087736798923014,0.13225630111660694,1.0079
-0.03145090224908187,-7.990000000000009,10.211111111111112,1.239065217391305,-0.011859386532858451,-0.0125697036613861,-0.0007154071144519492,-0.011893864840676116,0.0047324749650954345,-0.7141030157924031,0.2386726771895561,-1.2148404728145175,0.07784891910840112,1.9207542602880667,-0.12118576215077857,1.0103
0.010919799406766795,-17.099999999999994,15.468695652173912,4.337021739130437,-0.010548052849381762,-0.0385427342712692,0.003064182597341869,-0.02990975903399473,0.01996231041892038,1.4339809599995106,1.8344377657758326,0.2833382162337097,0.5978391468026343,1.5160731982824271,-0.600541813243235,1.0244
0.043492050767228396,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.01295073498934407,0.055595938695669034,-0.0012964895235487717,0.026393043268008398,0.031699190655929854,-0.3948028874703651,-0.23471486659427176,0.04514349523418766,0.17560005988853825,1.9687414352324348,-0.7961616016211149,1.0431
-0.034042873948104346,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.01948290433873545,-0.03953843908320742,-0.04322434107045936,-0.033544021545772296,-0.02837814949889861,-2.098553626551332,0.4451844218803544,-0.7174444580977871,0.3137259593136728,0.33824591174830515,-1.0556089144680334,1.0234999999999999
0.07337341819074739,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.020648361859738174,-0.028416122090153095,-0.011429032243164272,-0.006971243642073688,-0.02264022917892561,-0.9688432140013177,-0.3306876011828387,0.18382923517396418,0.6801515907507915,0.5930793064851682,-0.4999521326421822,1.0099
-0.056007220073674646,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.006650261485761533,0.03605989933233822,-0.014684583970174359,-7.786434114009921e-05,-0.0059503205151116845,-0.20274689950680036,-0.13534945723787692,0.16105949049693233,0.9622489338441139,1.3437599329797154,-0.821733393640556,1.0086
0.033443822072548035,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0024519923255716947,-0.032634229255993574,-0.006067274129932798,-0.008054891212637472,0.008225167086168383,-0.1490698711911248,0.9086727184740238,0.7576459204722206,-0.5956196849502686,0.7595643020854327,-0.1690837141569258,1.0006
-0.06371464018776085,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0008148109242185342,0.02414091065026014,-0.014550953669257183,-0.0033046596248809124,0.011195149410577088,-0.1080814540952024,0.9052391836884971,0.09928433901003986,0.34080477434119366,0.7532332502802962,-0.09279066769827236,1.0064
0.01637335437387455,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.0054360925029577345,-0.07574562903274007,-0.0028387074747424634,-0.010481908537034457,-0.03779956844986998,1.9656629600075366,-0.378531589262868,-0.8957851929627185,0.8109090436113184,1.9543402242316508,-0.23630935445216875,1.0045
