fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента спроса,Компонента предложения,Компонента рыночной конъюнктуры,Компонента валютного канала,Компонента денежного рынка,Компонента ожидания,inflation
15.3,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,0.0005358291951225169,0.04824005744578663,16.54825655777572,0.03163723359594428,1.572742119438484,-0.6463034702490711,-0.04903131019935917,-0.6608265303407678,0.617561648543143,-0.756113823249433,1.0011
-13.4,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,0.004892495021067589,-0.024214872736084914,16.57126980599988,0.003455372205737106,-0.24657392792855093,0.22319259428134458,0.08577645536079735,2.385107829495827,-0.13239234095673597,-2.268506447446279,1.0075
5.799999999999999,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.011614433255060064,-0.006533579744390394,16.565003946523124,-0.012842101286064889,0.5417184358207039,0.36994526995804283,1.7190525881206793,-1.0425682310209525,-0.6988758468136098,0.21892946716076553,1.01
-0.3999999999999986,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.011699065322945401,-0.017146803461148608,16.556118139325253,-0.0037312260417525778,-0.4804205166701304,-0.38940708462009105,-1.7695241760420115,0.968288123760011,0.20503650210145385,-0.22597056540244898,1.0099
-1.1000000000000014,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.011387323814714634,0.0034663810757731284,16.588405587521898,0.01606776833804524,2.4378100363588895,0.7466100130902612,0.46551805135118823,-2.9058973265594075,-0.2186271208687804,0.6096906815935337,1.0065
0.7000000000000011,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.005197326321129125,0.0050058515865085695,16.58636150143324,-0.0034233876569036426,-1.4165493548697912,0.26714823396966453,1.3800887559031547,1.7885370610728053,-0.23616603735494862,-1.0382983149774696,1.0075
-6.7,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.009209874212864122,-0.02030819858579136,16.592040219526325,-0.0034364171958660705,-0.18607085107535282,-2.9324018143636876,-0.8165017774082804,0.32073524414557525,0.3663918269275063,0.9823656879874882,1.0056
1.7000000000000002,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.005455078203095098,0.006932522868856594,16.59976564965102,0.0600411818580735,-0.6167527713329423,0.2322177193262756,0.5940011696128876,-0.09927680389918499,-0.21068762468634547,-0.03163322064555479,1.0068000000000001
-4.7,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.00041276075763185816,-0.014709142264514696,16.580690941631172,-0.003927931869311507,-2.258330912023089,-4.355763639774052,3.825128859454886,-0.342527485018359,-0.8150583075753038,1.119188623784227,1.005
18.7,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.00989470072553722,-0.0016118371952167365,16.587125274239426,0.014733631476991249,0.23155378689144993,0.028608683875406993,2.1347064820463872,1.8759645394212066,3.216208435498952,0.4150739735113064,1.0089
14.200000000000003,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.005406539524818399,0.002575389963336505,16.617500101646876,-0.04579930427180656,-4.720989812184957,8.37440384042614,0.06917153035222613,1.0142884939051717,1.1400635841501798,-0.8232380323511943,1.0254
-55.900000000000006,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.014675025699350641,0.004813749175509585,16.555903221053327,0.04938830635942004,10.451745874997457,-5.027251185580349,-0.8338515259930286,-1.5786296392430381,1.571787607606866,-2.1717097763768125,1.0406
67.4,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.018395477945460925,-0.04621601003699993,16.52023432738886,-0.05801255659771165,-3.284633785184831,2.5144582519901983,-1.5426649107228767,0.757832688573524,-2.029101285144585,1.6047839870035943,1.0281
-28.200000000000003,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.024663061088052274,-0.007057875641571343,16.490455882091833,-0.00793696406230282,1.1377203228570079,1.5864904259352655,0.501310492554993,-3.413273355634321,0.40325178374849574,1.1589849276596684,1.0119
16.800000000000004,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.005318055862844062,-0.0024235890980541797,16.48667067461141,0.03298349991693961,-1.0364926858089178,-0.2441243789548465,-3.8793878386024794,1.7777290669213428,0.0036332274892972236,-0.3208686018055411,1.0065
-22.000000000000004,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.004871741412816988,0.0001905027451680752,16.47955528873381,0.003079956978169207,0.5382146912651622,0.8683804046136049,4.133021188501164,-1.7200119452461136,-0.6629821770804188,0.4888265237800741,1.0027
20.8,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.001393543298400246,-0.017090538838296254,16.447640732425185,-0.01847967758833491,-4.529736992003421,-3.9680926941006334,-0.516792980486329,4.3556696056575275,-0.3567274181379367,-0.18784176040970632,1.0004
-29.6,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.0011897054535676688,-0.00710486669560062,16.458021074052052,0.011416028796492839,2.8728988802471003,1.597748538736465,-4.148584806257899,-2.704300917994246,0.7620859220945183,-0.44986662717149,1.0015
-5.0,-10.04,10.858095238095238,16.007082152974505,0.610165631469977,0.002550711528458649,0.008783007707606316,16.438741938669686,-0.0030535467110066605,0.610932144205229,2.932045308780716,4.500998031494625,-0.5094224227951804,-1.5594138018015327,-0.555159414607015,1.0051
