unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента спроса,Компонента предложения,Компонента ожидания,Компонента валютного канала,Компонента рыночной конъюнктуры,inflation
-0.02084785234841824,0.7800000000000011,5.9935,0.1849999999999996,-0.004786257723676357,0.009862430388913879,-0.007514003484217824,17.785851945188316,0.011689086934973503,-0.3866675147805207,-2.2877826443569833,-1.2230005917867914,0.4681712421436104,-0.09292230625737338,0.10353350464637166,1.0051999999999999
-0.0068391690895284185,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.002438635126498667,-0.03741230184438393,0.028510368124008423,17.78070665262039,0.030403419980414625,-0.39443724625272536,-2.2896804534282245,0.22745654624749978,-0.0654761033613265,-0.6636093754588488,-0.5422872754295338,1.0063
0.03776792663445261,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.010156103060657173,0.005646932867797716,-0.03470583918392123,17.76762986467541,0.0013269884517779218,0.329814797643317,-1.9466460598465287,-1.5648383509951118,0.5113608927686909,-0.49465954071272966,-0.5394179923030693,1.0070000000000001
0.01498437898477012,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.009060294924807977,0.0035391075027320085,-0.0005547912844185987,17.744578016671074,-0.013280505991129843,-1.5305549114939736,-0.6703114489701636,0.4300152921442064,-0.6966546216346018,-0.8967783220517518,0.04121222540391,1.0133
-0.03954708316562572,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.011675485180276723,-0.05364170090271969,-0.009409769657317213,17.74129387099235,-0.007901712878291889,0.08847324915895557,-1.5506940530492752,-1.0827364066359433,0.018560869240445414,-0.9434658078956033,-0.6156828350104437,1.0092
0.0687157362108648,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.00551548817277947,0.004808328735943945,-0.0030214564004342748,17.728649170640928,0.01441041997031789,-0.2892598636091301,-1.2160087772446235,-0.8038139193886491,0.2831832172917521,-1.0396015791754147,-0.5077801972848355,1.01
0.058909024106966856,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.01038723387051732,-0.007198514457531502,-0.018326134438032327,17.699591330077762,0.0003227117578887828,-0.6642309134635812,-2.1945421153536153,0.5700580206553664,0.11059218385620713,-1.5664875680507537,0.09500893669597307,1.0051
-0.060260737870497016,-4.519999999999996,7.949090909090909,0.127359307359308,-0.006181944128405448,0.0003607745076870117,0.00023911896544248634,17.70375344270466,0.005141137590991107,0.39962907723326313,-2.1233185434512527,-0.9328919710602954,0.40013914487432023,-0.6247929961136729,-0.009575252180602836,1.0095999999999998
-0.012338526568965169,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.00012801556485442234,-0.02002828312325633,-0.013509237181709821,17.67461783776641,0.0035079305102065916,0.15168211506006063,-0.8271181640802743,0.9867063655656183,0.677405572712521,-1.183824576793385,-0.1840715601200379,1.0090000000000001
0.0047522983782423145,-7.990000000000009,10.211111111111112,1.239065217391305,-0.012687920799208996,-0.020406843153111254,0.007319596508201798,17.677181290389996,0.01081159042094093,-0.5868528344810102,-2.7594755702054536,1.0411023926670726,1.5585903311212055,0.06559837692324565,0.32761881398960735,1.0094
-0.037810764378976125,-17.099999999999994,15.468695652173912,4.337021739130437,-0.00818174459433152,-0.010367801853895742,-0.014381223774512009,17.657545015453163,0.017930928155571735,2.7624343635672486,-2.0259536659947046,0.6897435302621333,1.9595061959600168,-1.0853560322879336,-0.21778693584943554,1.0223
0.07288502136531161,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.015146237666371576,0.01997642649803666,-0.0010679365242989292,17.631913516823754,0.0428261306414317,0.302355384100126,0.4921183609568331,-0.6958057005277608,2.9243673124499088,-0.8328883616688629,1.0561733578765617,1.0283
-0.026660537946888274,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.010651254700956514,-0.026323947443763984,-0.019028143640927198,17.566490296753386,-0.003225857836802959,0.12586123750167721,-0.26210658029828793,2.8293678023188797,0.06980906062523581,-1.625242747111716,-0.6009457123653599,1.0276
0.024732095147911193,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.022771688226823628,0.02174354471749851,-0.0479728990215289,17.56424947135208,-0.02925980023958452,0.8630406739474921,0.429598310270812,-1.9992825566357089,2.714446865318053,-0.9988925487678264,-0.4576283826896525,1.0156
0.0024346549415686924,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.00886295212930932,-0.02708086981347435,0.045936059655119266,17.54040738708648,0.021339250162236922,-1.1155769808171612,0.35917918745011507,2.2382550476998273,0.4046423828597919,-1.3389625772128952,0.34789398352611856,1.011
0.013452147256404423,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0007331718543603927,-0.031396328230218984,-0.053803487854841237,17.540859130151194,0.022006683855620324,2.1515481228118136,-0.12161131816105371,-0.8986258528887642,1.2383327507982314,-1.0098695307136722,-1.100807543317462,1.0066
-0.0453535893629331,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.003463517358238022,0.027223222842842176,-0.0015402254031791074,17.51451714686813,-0.004436649146521532,0.3859864927614703,0.7254514545511482,1.187817825372304,0.09981344828049012,-1.4945849900564823,-0.09176499016016781,1.0038
0.006138366229895942,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.0026696835904385097,-0.03591476426855067,0.01549211644775994,17.510308842810254,-0.023871813899166483,1.1519178779530999,1.0234796938930346,0.5663421338846839,0.8828050776826806,-1.477870709290091,-0.04307920056505718,1.0036
