unemp,fm_ibk,Brent,MIACR,obligates,M2,trade_turnover,money_income,debt_firms,1,2,3,4,5,6,inflation
-0.039222417345174954,11.313534827112198,0.7800000000000011,5.9935,0.1849999999999996,-1.008969554661121e-05,0.000917620210394432,0.003959972597270323,0.0001385161893132647,1.4734064838066667,0.6858387902639589,-1.422421365625871,-1.2464081959055486,-0.19545388027698823,-0.544893032282442,1.0061
0.040658939513108616,13.335453544101998,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.002547969672171746,-0.013327365617097797,0.031115781638035855,0.015182586916797192,0.06790082193483113,-0.10717871609025884,0.3638382166909593,0.3315885329098053,-2.087486407598019,0.2909775984156092,1.0051
0.00027229980622911487,8.36029059303197,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.007422633104324561,-0.018312145506708788,-0.04719950101813808,0.013494094632525488,1.3087388885723077,-1.5148101178147695,-1.2248831070086694,-0.4121701174949773,0.1695322928933286,0.15531130065909202,1.0054
-0.014258052855821934,-3.4503139396915903,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.0071597233826050655,0.030290276939695104,0.013166279950535653,0.01808789032399538,-0.062177267019145756,0.5471966505658533,0.6455259136230097,0.33647396504583277,-0.10695764157860124,-0.6674901548572576,1.0058
-0.005149703465262445,3.0101555081722897,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.007031049879154594,-0.005947579777000556,-0.01068081364520701,0.02041336028702645,0.25653547599191934,0.9503085468099756,-0.13792892847507673,0.4384136079687057,0.5947976916544137,-0.212896603967509,1.0053
0.14120842568037362,13.3984797550422,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.0025693580698948892,-0.017010271689215983,0.0018788458238230277,0.025540344512696933,0.4620185379514724,0.8445153532080028,0.7194167920130179,-0.06953819569446884,0.15409444156649765,-0.7248426795336061,1.0066
0.0319103532356525,12.5465938992222,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.008449408207326314,-0.014892986636933614,-0.015062113481389972,0.015392507277331546,1.071956946695554,-0.8731224097902237,-0.31031180775876344,-0.25535973044348514,0.721286200017869,1.38110522046969,1.0034
-0.10055701010988738,10.2061920409289,-4.519999999999996,7.949090909090909,0.127359307359308,-0.004224849990269064,-0.0070391793105066824,0.002269595215175002,0.009897588713249306,1.717863717247569,0.46685009214054085,-0.2831258360335902,0.09038854218231339,-0.4058984960491243,0.13704158091229687,1.0083
0.00795329740760542,5.68212903417044,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0010218633562626422,-0.011467125260285371,-0.011147131513354225,-0.06670681613957363,0.1931157337039473,0.1646106606962447,0.1218954127111548,-0.07647089211720087,0.7164057062809444,-0.47994152242697163,1.0075
0.00805680395368702,-6.769278934950649,-7.990000000000009,10.211111111111112,1.239065217391305,-0.009013578563141778,0.009073585241512916,-0.0029155798001365696,-7.834327776379268e-05,1.7431171823034441,1.9305823460575895,0.8604724566620428,-1.0155421793545347,1.1839969280880986,-0.7909614032210286,1.0075
-0.02294753239897107,-2.71328996649475,-17.099999999999994,15.468695652173912,4.337021739130437,-0.005474485220464231,0.00382915602481404,-0.002700404568580339,-0.0469655994598881,0.2130887795181564,1.0248153932606432,-3.1480824173354836,1.0218637310455676,-0.7317571483623863,1.353720658897668,1.0119
0.015093390051654332,-11.8278524228911,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.00850060037362077,0.011666098549554249,-0.004593970613576914,0.028907447390809082,2.012068364548969,1.5842027734695858,3.1757524079115944,0.19351196951652874,0.5944167619792672,-1.1496132759380469,1.0334
-0.004071852105455576,-6.0548687113955095,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.010412315960982355,-0.023842620410860604,-0.016754298507066778,0.021525841922169775,-1.6097350452579613,-0.1842905266335648,-0.020791534752724945,1.0983695803768005,0.02619190916799462,0.34601986356189657,1.0234999999999999
-0.016933409664179222,-1.10047717289743,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.018048025025073855,-0.02419373259536073,-0.04629575531738794,-0.0074450054690444745,-1.946581187522492,-2.009606462043916,-0.24715317820554436,0.4046452752261222,0.22293657322916316,-0.18880123951821512,1.0167
0.09547392257888943,1.37932281506403,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.009045199633590073,0.043155582077652355,0.047899842939507664,9.192776702526828e-05,0.5808440636279375,-0.3511436589632549,0.11486223488990444,0.40534894688025563,-0.8284925099346205,0.01526052430488607,1.0092
-0.025458303458013476,-0.145201158179882,4.559999999999995,12.828333333333331,-0.21603896103896147,0.001864599515423393,-0.09119642584121124,-0.05483674467710031,0.0007355989090669368,-0.727609678118985,0.5425991538577233,0.1650104563730347,-0.41984585935620217,-0.22648158554308598,0.04352577586022809,1.0073
-0.1688348643796166,4.22582476927337,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.005895476838771785,-0.006106361596881271,0.005762501939052811,-0.006948937305372382,1.5614831814760042,-2.066292383927824,-0.8961691223472972,0.23131328598994183,-0.05525201102205852,-0.3812031568199071,1.0037
0.069759031230893,4.92473136582888,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.0030191388097851046,0.008152056951551856,0.0017262870488021775,-0.01438915158845866,0.05173135673269217,0.6153419034230039,-0.49738500662430324,-0.7741815830751945,-0.13482966872003163,1.9194654435850096,1.0022
0.0738283002540111,5.997301412235969,-10.04,10.858095238095238,0.610165631469977,0.001913887834733785,-0.002418433606948156,0.008196025145306152,0.00575060625876489,-0.5947615596452532,0.6645765312633757,1.2176127918280981,-0.7859073832334883,-0.890205670389386,-0.2274691583230022,1.0063
