unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,inflation
1.5887831294495198,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.003902277915237562,-0.02882650610790982,0.005839276378814873,0.012781435467905666,0.010581228012211952,-1.6594703932142296,0.26899711319284003,-0.5302014418186014,2.291561992641173,-1.7538509546016046,0.4653291859044007,-0.8713392511242958,1.132057259342007,-0.6453925623033744,-0.0525787032465588,-1.0133266367565343,1.0081
1.6877167085275193,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.0075757327055772095,-0.009106126233827894,0.006694805921192426,-0.002422619923338587,-0.007729160627640397,0.8726889002530538,-0.22581911718034253,0.7925428345631419,-0.5070690379516605,0.43558724963891016,0.14387945406757285,1.1795239410864156,-1.3761212590909289,0.06666255300015086,0.8263954075052509,0.6106221701701693,1.0051
1.677980141893285,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.0008130798937120431,-0.017274511623973865,-0.027036298415838544,0.01854067251647784,-0.015571901640734964,2.0356800975582,1.0471803413255385,-0.45678927911213857,-0.3392378686619282,0.72288333525519,-0.06411075642692221,0.5681119528196423,-0.17090999545458097,-0.44722496884717583,-0.11519131225124989,-0.3764524472558573,1.003
1.6660128039230957,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.002243344430196359,-0.040554757033229194,0.014534041310502843,0.005883195005294439,-0.0036220937717654778,-1.3137183431673305,0.7194149821500022,-0.43699589480283924,1.075988818271172,-0.7528972999100149,0.13992539990817648,-1.0852377591462445,-0.06267687544420526,0.4583610299695462,-0.23585580589644217,0.4316090732280416,1.0049
2.166517714367834,-5.030000000000001,8.172173913043478,0.6450103519668744,0.005723688098424162,-0.011990310709247609,-0.011097607828062905,0.018654416912710303,0.01956866339979868,0.777819761565811,0.39250061760682337,-0.013925491370645384,-0.028713044982211354,0.08932301617472149,-0.4690463354257159,-1.019132286625529,-0.8749668261451594,0.16824241500686918,-0.35698761189718936,0.5251359892683187,1.0059
2.37759699001704,-5.159999999999997,7.877142857142856,0.06070393374741201,0.003130092933744777,0.002173170503484201,0.0023072760872100417,0.004759817542288047,0.003411286083307985,-0.9378047344836494,-1.8052551107980919,-0.9779988342174213,-0.766479800932415,-0.05553222399947278,0.05067493275268201,0.07647227958482092,0.39623032233905137,-0.6109052369726187,-0.2656634869980468,-0.5120444317388357,1.0093
1.8086281202956926,-4.519999999999996,7.949090909090909,0.127359307359308,0.00549133366040877,0.0010742331844664221,0.021280021772222213,0.015361498970047904,0.0013282007816481922,-1.1040110137937558,0.8992859131910629,-0.7230228409403683,-0.03266729036526088,0.7754402071721748,-1.1663477408322143,-0.498863886368509,0.1607709926838738,0.11037350870716874,-1.3539507334951009,0.4521539141783043,1.0108
1.8181489133729245,-9.659999999999997,8.240434782608697,0.4549802371541478,0.008939579661312536,-0.011024176700994204,0.011779831579993072,0.022958381213410206,0.001246933194787303,-3.0310835668811036,1.8600591336997192,1.3752121640594377,-1.64943970019283,0.6606404116885234,-0.8032121107465293,0.528116228989506,1.0251425095192388,0.6782803202699876,-0.8663772421326773,0.1176967736767097,1.0042
1.8621483043300708,-7.990000000000009,10.211111111111112,1.239065217391305,0.0015056176495544804,-0.012874109480359053,0.018502884891763216,0.011034642587075538,0.004530606779139745,2.4651065516802144,3.005433997045733,0.4950765536715711,0.7945628521733972,-0.48229938223583313,-1.4423716432561968,0.7997349172413662,0.45166424335039207,0.3405771927294147,-1.3590494228932022,0.03586582216608657,1.0088
1.9318231930643304,-17.099999999999994,15.468695652173912,4.337021739130437,-0.0015162260938375027,-0.03567440638013508,-0.0022387448899010565,0.03202116352276363,-0.01519060610599432,-2.2673801173717103,-2.002343805414634,-0.6267895223601481,-1.4185081754561122,-2.401552238892018,-0.14408354905081522,0.8513132058936153,-0.1777822873514829,-0.4623644911696071,0.8391461922340485,-0.008159802409424604,1.0190000000000001
1.8641425779593386,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.006919234494409565,0.05758547046599283,-0.00035162594700466343,-0.020634920996611683,-0.012215957770502328,0.8156020995032897,-1.5604462728101665,1.444177108434634,-0.2755332933687866,-0.5259122952072752,0.0112350095502339,1.2739473001195827,-0.9348732012303478,0.16066939466611554,1.0260040999809699,-0.3643876704498476,1.0328
2.010834638541575,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.002781759125284111,-0.009115096788564259,-0.017083212368651957,0.011783196829640019,-0.0001720102269686663,0.432917562172993,0.30210025971707627,-0.10626849896886491,1.3583570940437024,-0.9085060591899898,-0.8987162052621892,-0.18293232870209605,-0.659765778533213,-0.7141303537549123,0.12173632386924993,-0.7559714529745228,1.0342
1.8492733388984675,-2.210000000000001,14.902857142857142,-1.0367727272727283,0.00289525437331406,0.06718530812779022,-0.0038392576450227978,0.015257041873192989,-0.023960666010538034,4.257492825563338,0.6879960116302792,-0.1722925707948536,-1.341011788420533,1.7271676053128655,0.32712196891201273,1.9692449157805716,-0.9152756646509197,0.3687001404795936,-0.87457952011103,0.8156940131389702,1.025
1.8878992912084516,3.6300000000000026,14.357727272727272,-1.2495454545454532,0.014846843591811876,0.0261633223390092,0.010437618673908133,0.01915234529222687,0.0019208270126469529,-0.8452037411722884,-0.7866491201899887,-1.4273349204796257,-0.9916085615953747,-1.4603343055425375,1.081900467273825,-1.55561649008336,1.4975258654138954,-1.0267905352422877,-0.9927907557815228,0.04798047496471847,1.016
