fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,inflation
1.7,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.00420879962323184,-0.00854047927193946,19.695605739844254,0.004590427968297561,1.2863706032155997,-0.48656251483281937,0.8951530150756748,0.40098089256234765,-0.6810120718643766,-0.20646850327874075,1.0055
7.6,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,0.0013561863424591536,0.024890066474098305,19.698731695043417,0.00869677122137702,-0.04839693287569211,0.2800199013877061,0.07152115476148901,0.4050026471995385,0.3555380519263255,-0.2209488403033254,1.0106
1.7,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.011097162015946793,-0.009262275507831319,19.702200138438897,0.004124796806928899,-0.19273441544487835,1.3648552053900258,0.31935248787270837,0.070909730347592,0.2436037614225698,-0.2971034097236584,1.0107
-2.6,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.011830650025775213,-0.044105436175392754,19.69253136640556,0.005583248899807103,0.8201905897509146,0.3622510845211645,-0.7418454403444783,0.3675814819788863,0.3006096535337975,0.04810633730722092,1.0076
-3.2,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.008989045901511616,0.015723535041608727,19.68859680011628,-0.0008179527071092707,1.34324301057722,-0.4875504117824422,-0.24116880512383027,0.7256000586399656,0.6416286753698577,0.6889813430782573,1.0075
-0.6,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.004504919371219884,-0.008353849146176984,19.6768644986698,-0.002522934346712802,0.14029799334136947,-0.4295714403649808,-0.31285149055370276,-0.42388684693332135,-0.27492229670526086,-0.24007075340588888,1.006
5.3,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.008868246405395297,-0.014090991354665405,19.66996844564587,-0.003788638474778949,1.6566454307904899,-0.7384457479650797,0.531347893258022,0.0104155081993874,-0.0580328511712331,-0.7085924428107071,1.0073
9.4,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.005800307726149256,0.014261432415729303,19.667995792019266,0.0007131532896433868,0.7555692801500166,0.5005891379988255,-0.3114535516713311,-1.1341790520717,-0.8875242092646869,-0.04522927123985616,1.0076
1.4,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.002100664691147003,-0.000983759969946263,19.664685481619053,0.004790109512811114,1.293832214570869,-0.6892533757304636,0.17922841364018355,0.3088711549999514,-0.7312058255273864,0.9975006487393526,1.0075
-10.4,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.012644209563259068,-0.013464314930587307,19.661863535083338,0.0006972418633370836,0.961366395857642,-1.4515055207681173,0.6705099655674839,-0.02340795343428063,-0.9383446539183503,-0.5862064989496403,1.0085
-7.1,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.007958730416586235,-0.026445792452845396,19.67082803289933,0.014811294097500038,2.1140713839088523,0.10993572649777472,-0.8168231469917614,0.9132916844490864,-0.051191874847467934,1.0530799703604363,1.0268000000000002
-14.8,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.017684885927012672,0.00900910920362108,19.65623903561335,0.002742536339884083,-1.1323619225152306,1.3947763748326156,1.145603544397629,-1.2214378678333175,-1.2539759045505987,0.34066070494244993,1.0325
-11.1,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.010583373143985497,-0.01703435997307423,19.62506796276348,-0.01706668887061369,-1.503356529891172,0.980689681883272,-1.2852528814888595,0.26650646726885124,-0.2675768229545228,-0.14809895643981494,1.0251000000000001
0.0,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.0210371414738173,-0.06540593061413524,19.60565625615455,-0.02411965725302956,-0.13880130073359312,0.5517758150614536,-0.41425499421327017,1.1915960829581822,0.03410137133661991,0.2637134475025884,1.0175
-8.6,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.008653487337891619,0.003968974942305081,19.59013977165942,-0.010578473032948565,0.8341818300625204,-1.0363827628053985,0.4154828777233262,0.40802778083903374,-0.24537416447615643,0.9733910160104806,1.0088
-9.2,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.0027532521498159213,0.0444007352300666,19.584728075008577,-0.014916772638253306,-0.36576822153772015,0.05755366623156254,0.211349800512187,-0.06961260290987799,-0.5453888063548563,0.5597142074721515,1.0090999999999999
-4.1,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.007406833154449899,-0.03416176456765818,19.555767705776248,-0.00678054447299381,-0.8479861795711572,1.5538587686167533,-0.8237061247146502,0.07762011540042006,-0.4294720612912757,-0.7935202635442629,1.0066
1.0,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.005719983031449161,0.004000260635969255,19.526292994653264,-0.004485600745706364,0.5489575208081232,0.22358215475980223,-0.1284419246429166,-0.04162856898611585,0.1473619104100868,0.8391188069391133,1.0042
-2.3,-10.04,10.858095238095238,16.007082152974505,0.610165631469977,-0.0008191850976722037,-0.021427718996188005,19.510753637386788,0.006075834674174274,-0.9465673431239697,0.6802894417368393,0.6897919738786525,0.7216894327920668,-1.286032197726874,-0.8056489439773439,1.0083
