unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,inflation
-0.03513787912361477,0.7800000000000011,5.9935,0.1849999999999996,-0.0025807579800396496,-0.003277934372475144,-0.011296696378686022,0.02695929179885681,0.002951599089701773,-0.332817116233237,-0.090142506519898,0.7057361283727607,-0.6934407941043993,-0.21778262156121572,-0.270127600775033,0.26118545513973673,0.2811363416226824,1.0069
0.025759081834966113,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.000672322951411175,0.007194858406791127,0.01506872217116495,-0.010523429544662122,0.01831709920102398,0.21001900651023525,-0.20939094460931082,0.19427785895429064,-0.5911373558571404,-0.6909350822982816,-0.3977215134296446,0.32710617307117185,-0.46689899608943836,1.0077
0.013962947552006333,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.009928362616621556,-0.006402526362412786,-0.02282748599521689,-0.008559366305465943,-0.013866699278903383,-0.5981257980851882,-0.30323175007212017,-0.15327981736306212,-1.07050860650377,0.32133165080643694,-1.1564227976112056,-0.10564793104117016,0.2829432545161082,1.0086
0.002484890375496651,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.011976802236221218,0.0008864110341484377,0.014310812065900791,-0.0018558802141228625,-0.016270098131769828,0.08350076346571399,-1.000133030458069,-0.06985564163277204,0.14014746764708955,-0.2841803266276491,0.10023918793207245,0.6114195799257771,-0.536934430677311,1.0095
0.0008698604241160202,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.010740601872154087,-0.0218400208645555,-0.022254948889656845,0.0011099085352164195,-0.023610903326481747,-0.5495180035494693,-0.5073925735623088,0.04519813648765186,-0.6597479071651569,-0.5126771442255201,-0.5312937799123734,-0.284280023213173,0.4924160592179004,1.0090000000000001
0.033140426321464744,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.00605134937454288,-0.029204688591054406,-0.00881353756693315,-0.008540536652315467,-0.009732157401208141,0.40604351111023224,-1.1435921630536958,-0.6910655762306376,-0.39403998918936484,-0.6545994772484762,-0.6252766473534763,0.12023871041983608,0.06903813259602823,1.0087000000000002
-0.001581204116213486,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.010870223724259276,-0.00961403882561207,-0.014008709228837901,-0.009648507738276635,-0.004446755341644959,-0.21927468591743343,0.25320918660888747,-0.25292939398921294,-0.4415597909653133,-0.7392962536337614,-0.8802809743758426,0.09174458412693133,-0.035539912843289494,1.0085
-0.003648640849843565,-4.519999999999996,7.949090909090909,0.127359307359308,-0.006221638228693038,0.027220808971337718,-0.0010968757285017006,0.005587165220372725,-0.0014864390743145606,0.9014752802901449,0.18221823382444935,0.10051816797775338,-0.7447765621603135,-0.5265676762011334,-0.7771996922925857,-0.2511726418772071,-0.32073167947653297,1.0061
-0.052605525413843446,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0003804874830866112,0.0011428322670212765,-0.01421823819036483,-0.002371077179020631,0.0025763055705656512,0.753431439327684,1.4366801383415466,0.16804679939790176,0.8681832921007561,-0.5196949774476639,-0.9263865853218903,0.28907411615344986,-0.1604031490215595,1.0058
0.0394720984386876,-7.990000000000009,10.211111111111112,1.239065217391305,-0.010319913198827635,-0.023833279232855276,0.0004122009917129077,0.01246992514854739,-0.02183955055618192,2.311247728939608,2.9682185741132896,-0.10141653910123537,0.3862434726364821,-0.7123186684205214,-0.9531667917287879,-0.6205905270443263,-1.516753637773185,1.0095999999999998
-0.010021042908013422,-17.099999999999994,15.468695652173912,4.337021739130437,-0.008092539592819747,-0.0017064631009020559,-0.018777978663262473,0.008233769530185953,-0.013969878355716503,-1.1913369468184896,2.5630824847250806,-0.04270115636291303,0.03894428403946972,-2.0392266367290834,-1.3781512757997396,0.6659210243006771,0.8834193094158178,1.0245
0.04094260024217333,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.015704381753046448,0.01773507241856187,0.0057362874103112915,-0.016550073070014548,0.006210083513119358,-0.28228395641882414,-1.1153795793523034,0.6927196770490187,2.362323451145461,-0.6557853876675546,-1.0314381882915677,0.7553889865276056,-1.106098578119729,1.0351000000000001
-0.037202611211759884,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.013212338772076393,-0.00810342121389418,-0.015061594187210758,-0.0555399827317693,-0.02760778710547207,1.057764960088528,-0.2288988657338969,-0.7223922544574268,0.7126975585193639,-0.10850763599773952,-0.8183523300626017,-0.7184051380423903,0.3474117097563643,1.0211
0.03191615858462532,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.016718910414246224,-0.027672424943240514,-0.020705334483277937,0.015900364379469067,-0.049304415673669055,-0.2571160345135892,-0.3180960561509617,-0.41284668879850267,0.3238891571820388,-0.18668475124156492,-1.3214767880118166,-0.5219015548269245,0.3449249284025888,1.0166
0.0017813642416011355,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.0089591011017216,0.0005120623274894598,-0.014833851368496909,0.008039784474185296,0.002248704764623355,0.6426392612037951,-1.2092512446663173,0.21438289533268956,1.458348762357331,-1.8807016912581749,-0.08153705360858544,0.6080796564663488,0.47183423596210633,1.0048000000000001
-0.029388149933662455,4.559999999999995,12.828333333333331,-0.21603896103896147,0.005144814318905233,-0.016725456152855145,-0.02294861882483623,-0.0019267646833860397,-0.010360258135865053,0.10457152687440135,0.3104672112642915,0.09339752803308904,-1.010551070568637,-1.1244266584347262,-0.7473095103436306,-1.3046552560124323,-0.08096468605862286,1.0058
