fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента рыночной конъюнктуры,Компонента спроса,Компонента ожидания,Компонента денежного рынка,Компонента предложения,Компонента валютного канала,inflation
5.391105494479019,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.003798156536005237,-0.01391615597414031,-0.014807578190893622,0.05048807960415047,1.3718619679370472,-0.799198262317724,0.2256785201090127,1.079668162820093,0.29103061310415934,0.6963789752490128,1.0031999999999999
12.8543000018554,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,0.0008893627887882616,6.108581343866604e-06,0.019587975383807077,0.0005159733486426177,0.5356318603605588,0.08692256903824179,-0.7023991177230651,-0.13851416920727405,0.006173918064365896,-0.5626613046172131,1.0070000000000001
9.61663920031162,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.010175990033442162,0.003637501124854836,-0.006160163887436454,-0.007622354851202218,1.0113177738875887,0.03304212486150676,-1.0010572613753033,0.10954277113055375,1.5803806194366108,0.17365653821852217,1.0059
2.10896384177534,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.009973140867813868,-0.02308820387753663,-0.039386811288459,-0.012263530626777097,0.32719698250454404,-0.21826934241668347,-1.3081987011701743,0.08395772872880879,-0.029270791828605664,-0.8899755238225706,1.0083
11.148687532661,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.01140426192812427,-0.010551067829558392,-0.005171461731485749,-0.025080861620811135,0.019915670345575467,-0.7054863407282493,-0.03192820889361281,-0.0031940085360602304,0.5201301266498571,0.8726839019897251,1.0095999999999998
8.76249594376372,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.007611336589073758,0.005027248218180347,0.028226665026576114,-0.03992416839517077,-0.11889997680856541,0.506875298184754,-0.7623181733951869,0.3517642077880598,-0.5555368904602213,-0.8514870993073123,1.002
3.12767291904093,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.00897751455041984,-0.012093811720655268,0.006758184573264714,-0.017108395035249302,0.7924674125846183,-0.6463145859464862,0.8762028725609164,0.567226229034101,0.6325898484622821,-0.5801399650830972,1.0104
-2.9789046248535,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.007617026349821643,-0.006761661945827058,0.008726357948262375,-0.010453679387991244,1.1437199406403584,-0.18459958916570232,0.12250833447548888,0.3858697418659856,-0.05590166489077654,-0.5546761751341415,1.0048000000000001
-10.7592546188331,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,0.0018682598508714676,-0.014714427614867631,0.008180724594719635,-0.024766082061500327,2.1330319674299933,0.9571265443612341,-0.6271566524411176,-0.1631167916691494,0.1365459497900698,0.13609308714194268,1.0090999999999999
-20.416011425852695,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.010507469009116477,0.00683679571668705,-0.0022439685122677133,-0.013042717246092295,0.17128253667001067,2.6568311314198074,2.5783524709998975,0.3909529883744414,-0.40013776386540373,0.3408421362401358,1.015
-15.1245202894378,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.009098592078471412,0.0075045289456721065,0.022882927367529504,0.05154372162247611,3.200237887439113,1.6203653548921162,0.37971591633886953,-2.251335943491985,0.5514759592379131,0.9630959136256733,1.0306
-20.484891580593,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.018251117842860154,-0.043994031173307135,-0.007163332010946988,0.017220682795127118,0.30043377419490597,0.4637349161947933,1.5959398639989621,-1.8209327641971513,0.09763147453544574,0.8927437879750192,1.031
-13.0081954324039,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.010593691174108244,-0.006876652601084388,0.03309935674455744,-0.11033610741101363,-0.6444946449988858,2.348665285667273,0.5564684289284354,-1.2470593648651536,-0.6063686823257621,-1.6213755301843056,1.0187
-2.07514690773513,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.016387080318816416,-0.013926121057535212,-0.010069287805492877,-0.04513350267794358,-0.3844794102909546,-0.9860981949694958,1.5120211017635095,-0.3160186521316119,0.5358302602015341,0.5530249820760846,1.0166
-4.0237596031473695,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.009200600458466823,-0.012542191339157682,0.02177958207025199,-0.04623201939542376,-0.03834271824468269,-0.7819024149320936,0.2928680468487805,-1.0185628091017642,-0.9793268977742046,1.2878968794319832,1.0076
-6.674045143074689,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.0021423137749589927,0.0028717302272873724,0.05828805992013386,-0.039359541196036574,-0.0008012516714821954,-0.127558180342216,0.38731326844188696,0.32398354804366103,0.26201594692577534,1.1197803549712646,1.0017
1.74104708863662,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.001943857250990888,-0.011651597686146431,0.0017346939729492306,-0.03645041424075046,-0.02731495138441262,0.8818611155278705,-0.03272777749912686,-0.44166096097796403,0.8077134949000494,-0.7643859925114543,0.9978
-3.6431120887230497,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,0.0012562663864894574,-0.012385672161430605,-0.04712860303611777,-0.030651679475631965,1.722878139522192,-0.1164075858209664,0.8246098910384113,0.007017503421574303,-1.3734109696982688,-0.8571225945230089,0.9989
