fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента валютного канала,Компонента предложения,Компонента спроса,Компонента ожидания,Компонента денежного рынка,Компонента рыночной конъюнктуры,inflation
11.2,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.002029912279912338,0.017037551058935563,0.041301716995578275,0.007270935943799017,1.4077846311131719,-2.0828473188697227,0.13018504639717,0.2542474958149488,0.16726496949218403,-0.04755715180028984,1.0046
18.5,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,-0.0008219442633503604,-0.003660354781850117,-0.020979863273240085,-0.06503970144019888,-0.6663745689166666,-1.4861708582536968,-0.8610172873237018,-1.2038877725512296,0.396005518647463,0.6027453497036951,1.0070999999999999
11.2,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.009854944813627142,0.016016143883007317,0.0006603972881311648,0.0031334346090616805,-0.7256549139233283,-0.980673342162237,0.9131094190118979,-0.6064724480030023,-0.3695022368613595,-0.07526759352658773,1.0047
12.6,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.009706916731451187,-0.029416302281710216,0.0007769812195377312,-0.020058355328398392,0.6488578811847712,-2.038155990469993,0.701785947223673,0.07147359552472106,0.39861114484248,0.0547187445402551,1.011
12.2,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.011772356964154795,0.0007807875041159207,-0.0030614075990698097,-0.01336599427914642,-1.1436821688048708,-0.224561934879031,-0.2716219316964592,-0.006587108049279814,0.37147740483871494,0.6440696693589254,1.01
13.5,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.0060479156005381896,-0.01837267881438187,-0.008480828411844499,0.0007066041553791536,0.333943937897701,-2.0053315582105045,0.13868258135298797,0.596418405283059,0.11380481848176864,-1.1295552881567137,1.0047
2.8,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.008063698609605652,-0.010639557242116737,0.023881574662443228,-0.014990154098425634,0.10246024578556669,-0.9645218689172301,-0.37164141294034664,-0.15626878425699975,-0.7031786295644836,1.5794713434269307,1.0070000000000001
7.0,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.006544689355580502,-0.0023491962031236824,-0.019836138567111306,-0.011942411393611962,0.7585634942417169,-0.4794569818119483,0.4747058759492429,0.38193677461822884,-1.1272030101699453,0.5761316198425016,1.0084
2.0,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.0005785993556397528,0.0004377256640690774,-0.0036250705560725294,0.019547193276894248,0.700931181033289,0.03925183407614976,-0.4330451609836633,0.8341582883227644,1.3281885299651923,0.03255848116598301,1.0075
-6.9,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.011335590952830543,0.0032514283827538293,0.006618361474696854,0.01111688196891869,1.004562124351809,0.8057701013649679,-2.134975274460376,-0.5157632958972383,-1.2090321479278532,0.6838145702669404,1.0104
4.0,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.008392038735927088,-0.01034056643484682,0.04043336676044085,0.044057615639461645,2.0124137704765666,0.2286101595884,-0.6523530461169469,-0.8560185466291268,1.1005805049257342,-1.215074070266295,1.0252
-12.1,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.015733981297454847,0.020786215663852303,-0.012550451360157311,-0.03324214304951845,0.8614599533475236,0.8156307833743389,1.2375587225532758,1.7045289348722625,-0.9679999359172187,-0.15948305491427822,1.0382
4.1,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.013430763089209208,-0.06664225573026172,-0.0548016040308994,-0.021410376693212996,-1.621115620083385,1.4840023497057033,0.549662798211887,-0.5147856139073773,0.11835688828240233,0.1484117419690532,1.0179
18.4,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.01647576079526658,-0.00839902319719954,0.01874018151661261,0.06955859221391236,-0.5395942124381508,-0.3438200217665942,2.1688158425450625,0.4082230869147259,-0.9258235132681175,0.16676367833144415,1.0159
4.9,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.008176399442161753,-0.025843865791411957,-0.014589691446630582,-0.019774482076318378,0.546396592938625,-1.071648105129465,0.28995920519404195,-0.3480099166783513,1.2285823198434818,-0.43396738229019316,1.0077
5.1,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.0011345965768327915,0.013184073102411986,-0.00431047009215213,0.015314884547539265,-1.7084571076509458,-0.072757165904505,0.19144125987885643,-1.1709792983709426,0.09978501865852743,1.24802432913863,1.0064
9.1,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.0047934521104977534,-0.024978727468891293,-0.0096209762858539,-0.005376202360491078,1.7285591369800994,-0.6074173222620418,1.1248500248906386,-0.0602382612158157,-1.112276065130649,-0.33209723488626575,1.0034999999999998
4.1,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.0025122552102079254,0.008245838192440402,0.0027620642286265706,-0.02093031973113746,1.2327276607016786,0.6792874586169486,0.867571415789869,-0.5999565952709257,0.02697889078686779,1.0318939952346837,1.0033
-2.9,-10.04,10.858095238095238,16.007082152974505,0.610165631469977,-0.00017754107724776702,-0.0019191895146803972,-0.03935522043654949,0.0044991411590462604,-0.30079295007464885,0.22842053454606395,0.9146256675417177,-0.2870121031884671,0.40568855246067465,-0.8833309890637239,1.0055
-4.7,1.0999999999999943,11.146363636363636,15.260416666666666,-0.4400865800865823,0.0007397744604897838,-0.015826636716012032,0.021568861571013898,0.004287380122898199,-1.6730899078761619,0.8380243197482498,-1.3105307679494653,-0.3531967908790848,1.4230818688363294,-0.5588839179137852,1.0098
0.6,0.8100000000000023,11.14090909090909,15.84010152284264,-0.24545454545454248,-0.010064359266301892,-0.003796313569440102,0.003602101573170202,-0.024751139981052717,0.7348968699660088,0.4941435477847349,0.955004209189321,0.11719808678618863,-2.005160029888852,-0.24830657391887093,1.0070000000000001
-10.6,-4.159999999999997,11.425,16.443444730077122,0.23220779220779164,0.0070890307219872994,-0.011056463317455467,-0.00317686176307852,-0.023371921712532995,2.1961887592033764,0.42111673631519414,0.15770999968769367,0.637514838087637,0.8939385131053432,-0.5961773532859403,1.0056
-6.0,-6.260000000000005,11.066521739130437,16.714285714285715,-0.22291925465838425,0.005261209799369837,-0.009041819613630153,-0.019277159803696264,-0.05498384763204811,-0.574995372569761,1.073992448933756,0.40118266314150747,-1.560869303634805,-0.31579223149625163,0.25688527169976366,1.0077
-14.6,-7.309999999999999,11.017333333333331,15.74,-0.40517598343685357,0.02172196421821937,0.007575451637311659,-0.004445606423974624,0.000253798634453517,-1.7633260275389637,0.7631089181948219,-0.19638958716996552,-0.30798787002593475,0.34142826211811056,0.695801333684032,1.0095
12.5,1.4800000000000004,10.8425,14.74,-0.39285714285714235,-0.005580939085527703,0.04784166194748174,-0.013396240166501983,0.005224013196221122,-0.7340080931453157,-0.4793332624520071,1.011060867105485,0.2346728810972465,-0.4211743797437667,-0.42319366670373265,1.004
18.9,6.030000000000001,10.94047619047619,14.5987,0.18672877846790747,0.0026940894903795254,-0.02207992487564603,0.01113703684941747,0.014809990393278127,1.5816860586187982,-0.3036916880462671,0.8538971348776137,-0.05443145497379649,1.3801366616922037,-0.4510782614098584,1.0092
1.1,3.3699999999999974,10.732857142857142,13.6,-0.11720496894409926,0.011100793990960867,-0.01799097665784366,0.004323565274006569,-0.005348239893066875,-0.4750999383721145,0.421742656354998,0.9988019209217992,0.4325494547222332,0.13971761800191604,1.1531065638952007,1.0033
5.1,5.160000000000004,11.06315789473684,14.1881,0.1510389610389602,0.0001612718445063166,0.013361703043612394,-0.00888885150922647,-0.0019169011048862927,1.1053008466288432,-0.722578395323217,0.8712973609120167,-0.6924109536657198,-0.7316961891980468,0.3321854154229932,1.0014
0.9,1.509999999999998,10.639047619047618,14.2875,-0.19590909090909037,0.011065343069903477,0.007615601795132321,0.007653802545982913,0.02867160328819729,0.03860063110046153,0.2797963931081547,0.8736349031137854,-0.3771851410632045,1.4573082199430059,-0.6427312993487294,1.0033
1.2,-3.299999999999997,10.37904761904762,12.5623,-0.3408441558441542,-0.0007978749386463591,-0.006588254941727101,-0.0028709792172794124,-0.0017638912236375148,-2.3723575720901517,0.7130364419006463,0.12507720199553168,-1.9620828728360888,0.25894529158428664,2.0484387652485667,1.0048000000000001
2.8,0.8900000000000006,10.339565217391304,14.2065,-0.17447204968944163,0.00426805270875974,0.006785748834451155,0.004026599925229135,-0.015106564412301182,0.5299743431690473,-0.8802850841504805,0.5739430490585886,-1.2243012644502533,1.614270956295879,-0.6993794595516273,1.0036
-3.7,0.7299999999999969,10.238636363636363,12.3462,-0.015592885375493637,-0.0006930229198207627,0.0022287902037110285,-0.016821811893406036,-0.016561571831271493,2.3552711615423165,-0.29202235034344354,1.8938668761910593,-0.3345469740291316,-0.46951476173870765,-0.34403311669812536,1.0045
-9.4,2.950000000000003,10.323333333333332,13.677378,-0.10564935064935099,0.004313938740583723,-0.01120002341823323,-0.017604817619844226,-0.027177130954303408,-1.9381310558812,0.6910066308123166,-0.11698323371153964,-1.5939109598177357,0.26965598252127065,0.5306481212267739,1.0058
-7.5,-4.790000000000006,10.017142857142856,12.3526,-0.3648051948051947,0.0013229810890464933,-0.013427601504671927,-0.023396188572998966,-0.028488366723067315,-2.0849019500870485,0.37207645975425385,1.1595490240142843,1.5022580926854188,-0.21459595558254463,0.561103550390081,1.0026000000000002
-0.1,8.580000000000005,10.160454545454543,11.4855,-0.01681818181818251,0.001720273048578136,0.018280889539248335,-0.08537640617042719,-0.04414823456824024,0.41627954487548385,-1.4626864398458446,0.4632305867692808,0.14310033685310578,-0.22304019133588832,-1.1090555156378337,1.0036
-11.2,1.269999999999996,10.114117647058825,12.8791,0.4422727272727265,0.004184247252833728,-0.01969203053143076,0.11694852968733294,-0.08755794403151818,-0.3321793122312367,-1.0055642905610145,0.8814952408840596,0.23939842274682172,0.16096536240418063,0.7972250070868986,1.0059
