fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента ожидания,Компонента рыночной конъюнктуры,Компонента валютного канала,Компонента спроса,Компонента предложения,inflation
2.1,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.0012088463827026885,-0.011368965110895246,0.04261875193077813,0.025390870999162374,1.222947432425873,-2.267869263834174,-0.09030728248928506,1.0601693661117861,0.8016859386991537,0.1927414064997606,1.0056
9.3,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,-0.0005973643317265243,0.026423648678504108,-0.0028158440493655235,0.010817176896262382,0.02094988497862279,-0.00015045722006418408,-0.4122490077665677,0.5989106691287494,1.1470361117620234,-0.9795883274410673,1.0082
2.8,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.014502265421507232,-0.019098013288743942,0.006533535368486554,-0.0020887513633063293,-0.6849099491306698,-0.28002195004817454,-1.196554750992527,1.1677637265427883,0.5199935890449389,-0.4255529125480926,1.0094
5.4,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.013789482839044354,-0.013352379755676935,-0.03159962627555046,-0.0066294533168616,0.6304129602651931,-0.5285780520665826,-0.3038842761412241,-1.2314199632122813,0.12293398288779163,-0.19496995057539693,1.0143
9.3,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.015360978286357962,0.0006572825955935002,-0.012311474609177253,-0.01879128757168047,-0.17578707124349083,0.37465359856111596,-1.0087380954159861,0.3632623192870516,-0.6217431640381877,-0.16582876639163438,1.0086
8.1,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.006829527246752676,-0.0046143877236133335,-0.005623554895404226,-0.0022466062104431472,1.555407908289884,-0.47139492049896464,0.29404988265474713,-0.23807291962133068,-0.1019677283134812,-0.005210644610107161,1.0046
2.9,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.009594984406826157,-0.011758113905361967,0.002582153143542598,-0.0008940441331191096,0.6141064382252562,-0.37011623283229605,0.5924561650989713,0.50428604728543,-0.22455045123595152,0.6555768612152216,1.0063
3.7,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.006762627203109162,0.0025673193566628782,-0.006605011006048045,0.005248832863481212,2.693506489399263,-1.2954211400584656,1.6034514465213652,-1.5058806473147772,0.11409572346099588,0.028369001525241657,1.0086
-2.0,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.003101257044162864,-0.008642035679663707,0.0029556718062764276,-0.007827254447532184,1.9311427376789019,-0.6627651587574493,0.8720103491690834,0.32513521471058077,-0.20643003838713248,-0.15541667881685434,1.0112999999999999
-12.4,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.014748397784916989,-0.003623108777517814,0.01463001123777019,-0.0157972893192877,0.7640004262846231,-1.256656340443801,1.5052057936492729,0.3345465411427386,-0.4187396042226997,-0.26343885866537264,1.0123
