unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента валютного канала,Компонента предложения,Компонента ожидания,Компонента рыночной конъюнктуры,Компонента спроса,Компонента денежного рынка,inflation
0.01990010132697706,0.7800000000000011,5.9935,0.1849999999999996,-0.0042838988166842284,-0.044746432234111566,-0.003701335661800087,0.011446889158479578,0.004218380597098559,0.613497095542266,0.758696383404547,0.2396325160088439,-1.3571851854242103,0.03868106542093091,0.021413721277039614,1.0058
0.0050591921516423,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.0010964674078621783,0.006807418988323377,0.01120328180287089,0.011179429761156712,0.002682444920106164,0.22045883797188778,0.8911317739552508,-0.957329050362677,-0.29053124721823065,-0.4957936407540121,0.03417278061340056,1.0056
-0.026148986564372034,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.009809217575336149,-0.025245333046811425,-0.04092883872512587,0.00038262673716005224,0.00519490876480333,0.6830442748986906,0.8962728331119318,-0.46483419911078927,0.378865766742039,0.032020804487278204,0.9748786251624442,1.0033
0.06528204532604409,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.008373619815273514,0.008227580593391792,0.040106152045652266,0.0017443608561684698,0.002789365507501529,0.30542250349027694,-0.8849510820837793,1.3032186216503914,-1.0447738476186343,0.3254572370634116,-1.0826696191705305,1.0128
-0.20599112991302837,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.011312202095048463,0.02479187644842895,-0.03699968447665114,-0.008974918002175869,-0.014093620674531238,-1.4012996539067013,-0.368973256469115,-0.003876731586482632,-0.8718440448903529,0.5770695892197238,-0.17599554145259297,1.0039
0.20812350166599036,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.0023962735823612746,0.012200395767351324,0.003904960449359507,0.0036433518466072456,-0.034879794728936986,0.19412996391674098,0.5807795992277409,-0.032292655506607405,-0.5859553832718282,-0.7126424828428394,0.13277010126657154,1.0049
0.06757936576155932,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.006501736867214447,0.032654719186052006,0.019910221195793554,0.004776126049282681,0.009956293696363971,1.5344238005487074,0.6199182687661842,0.054807741995747276,0.7775488576421855,0.5435491323851669,-1.1442891808586058,1.0054
0.024492622964344957,-4.519999999999996,7.949090909090909,0.127359307359308,-0.004980777122542079,0.024804412454896507,0.010812999481638386,-0.002056146705818662,-0.011611385067329394,0.9369209439841786,0.20869923605656204,-1.0740617444198353,-0.5276132880475237,-0.8462097784702819,0.38280079916243354,1.0148000000000001
-0.04368603644945934,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.002736484376647752,-0.012414334247507597,-0.04795543051799456,-0.0019501461403468312,-0.023484549189189963,0.8847198384519195,-0.9215661025178729,-2.3290518472170154,-0.8988237452794955,0.014363658382363526,-1.4904246805251309,1.0083
0.03646529531860754,-7.990000000000009,10.211111111111112,1.239065217391305,-0.010646993407057437,0.01586717106852653,0.011745300414835569,0.009172658975131753,-0.007706313107652463,3.226110937719811,-1.0574505382230517,-2.26827633946882,1.135085610965355,-0.40597778722556604,-0.19511029606748242,1.0090000000000001
0.016113608091631315,-17.099999999999994,15.468695652173912,4.337021739130437,-0.005997412972057248,0.014951260043844172,0.012611798287524678,0.019723775254192333,-0.04810657551706932,4.552227272660658,-0.893175728236409,-1.9971717781122786,-1.36198663981384,0.08920066311266062,0.8161115430447612,1.0133
-0.01033383908074148,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.011534542804254144,-0.11816575715674738,-0.010671726686329208,-0.0020075995233685973,0.025006265436614328,1.9126847676172152,-3.53750460078008,-0.383298891098563,-0.10282115292099755,0.8511363570296875,0.04747850117026756,1.0293
-0.021445605417766522,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.0055501472291794585,0.07116312940511449,-0.01687131618358606,-0.02082988971185351,-0.03519413849450359,0.34102414211440973,-2.691044140444796,-1.8141550456613675,1.4396058273291692,0.21344528479559854,-0.24124269722409544,1.0198
0.10735474405084688,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.01571080549396875,-0.07728053318446904,-0.005178420359118974,7.250330931896087e-05,-0.04172510144226571,1.4503389727212452,-2.088508056645927,-0.5505874239503384,0.7864503857852578,0.9830301827431936,-0.6586014405452753,1.0143
-0.03244028866770421,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.007992792681278615,0.050323701724893866,0.02785896627423412,-0.006326458508782551,-0.03804511798685084,0.5386055025238438,-0.9766913705978213,-0.8964100319814673,-0.5128592629637357,0.4576183803360027,-1.1074051486517993,1.006
0.2316873203605061,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0030481932672614676,0.0028753237756156125,-0.06410895033446451,0.012573847431516683,-0.025799714615645897,0.5672605895545119,-0.05081681416034899,-1.5583492215534664,0.5953371219858572,-0.12836040165090548,0.8913860669182568,1.0046
-0.20007012962451887,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0023115347466085012,-0.047883798349605655,0.0029431128884365165,0.016076530558192914,-0.02170743867437963,2.7392090016531774,0.5232487436187929,-1.3364602459081005,1.5077158564073307,-0.4130985958956935,0.7981400754129813,1.004
-0.045107572683533936,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.004739704174513193,0.010568865376884062,-0.02425722750350623,-0.013518502725085924,-0.009028333197599991,0.09901702518989634,-1.2673559874768578,-0.739531249457569,0.22751306449442157,1.825008662597782,-0.649522427255955,1.0056
