fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,inflation
16.7,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.00042340099176385593,0.01038722341188425,17.94359574209202,12.429879047576296,-0.25371010444510744,1.4268098370140099,-1.2342097174718756,0.08526309497331903,1.03062396934599,-0.5086758472966623,1.0028
22.2,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,0.00380203115732769,0.006470091727196703,18.008607050816785,12.533564991687605,0.505758299820929,0.5382722396865129,-0.10499610248752436,-1.5147714963729326,-0.4522790003877912,-0.040596879451089356,1.0064
14.5,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.010785872525168827,0.023639623754904804,18.0147426403538,12.518522480959744,0.020387105689687206,0.6630571520058963,-0.5111828647683219,-0.8309989953365622,1.1037151717910931,-1.024987739423745,1.0083
14.6,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.009940242836920632,-0.025616184967329758,18.01494288440578,12.534318870041172,-0.010615484841858133,1.0427988512987019,-0.8365743339819265,-0.0060009533656421405,0.24407815153776036,0.18330211337621813,1.0065
21.5,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.009751311432722787,0.0015307228448051546,17.996069615292274,12.534289215786437,-0.14872503947907467,-1.0720982811273774,-1.0214659338333316,-0.37329256256340915,-0.22564829793657762,-0.6650758513443802,1.0086
17.1,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.005338325537534772,-0.014264247776390349,17.901757364173353,12.541583392912681,1.4323643937455732,0.3597052277370902,0.38904470171271943,-0.026245541053469924,0.24252992991420888,-0.31208450557637557,1.004
8.0,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.008092875093890228,-0.004940363380255164,17.916523375072018,12.530190140571255,-0.07624634215054761,0.6067174962770662,0.7137745889379086,-0.2336152191172289,0.28773057922908396,0.6525486338641528,1.0065
7.4,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.0051175313648545995,-0.0006911139703564828,17.902968864247498,12.548812425039648,1.9332453357559725,1.1144586832616656,0.8620275327443228,0.4977023605793291,-0.35535742931354314,-0.5800697973384646,1.0064
-5.1,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,0.0024164430677675597,0.000819034916769823,17.909588396905434,12.528499125001227,0.4304007144940897,-0.38751529465220735,-0.19291528821098003,0.07293929902466285,0.0021007686052047073,0.18327217795907527,1.0065
-10.3,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.012267098430051249,-0.009799388493158645,17.903269199675723,12.551138550614882,0.6373704675945439,2.2838118136788164,-1.503849962927883,1.0249026194543436,1.2915387091658106,0.17655210248905365,1.0131999999999999
6.9,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.008571943349091171,-0.004346114469313989,17.908164954386617,12.544597672664173,1.3042731347502947,0.8486175529338708,-1.2680658271763254,0.1116397936659001,0.7989650351646501,1.4430605536004013,1.0206
-7.1,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.013033136940400425,0.016686064219349817,17.93912967466413,12.601904151414201,-0.06657931335420757,-1.2636752419804842,-0.5064984662652537,1.4242533593140942,-1.528727448824992,-0.22815846759866704,1.0366
2.7,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.01339064966993675,-0.03606961864532998,17.913080627491397,12.56520814780473,-0.7557110337009211,-1.7081854593253234,-1.8695976810598018,0.6048936708957043,0.12704978746873608,0.19331364576332177,1.0248
8.3,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.020390433659837726,-0.02349157426409576,17.830061059686688,12.44436722854048,-1.3930048684331073,0.4384572067833434,0.5404068540278525,1.8458050570513491,0.43159237430420017,-0.38156204567205454,1.0112999999999999
7.2,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.005425739652695327,-0.06907854187087281,17.797747036119993,12.454324061649478,1.5221351745786238,-0.6293074845009002,-0.5433399100272098,0.5822842826669101,-0.3687877625982547,1.7667341456390668,1.0075
4.4,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.003693591678958441,0.033769981642894464,17.771602974021775,12.442090559325354,1.1814491970456056,-0.3577819649482487,0.3918609454050469,0.6247136017679085,-1.387755479016518,0.6651900971434481,1.0029000000000001
4.6,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.0031293707249258063,0.0022389321623830227,17.760479291578154,12.432026380006919,-0.3871372376513227,-0.3189130590188711,0.07549391887048833,1.0111723479379948,1.0347403491683755,-0.7101359039844687,1.001
9.5,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.00036479291587454554,0.011233053022690953,17.83891911247716,12.427591755927343,-0.6707012525138228,-0.023936068831703874,0.01960756505632561,-0.4257048004356222,0.8235742366836546,1.4088026217295182,1.0027
7.1,-10.04,10.858095238095238,16.007082152974505,0.610165631469977,-0.0005911243043019709,-0.015090235832907695,17.802575624566106,12.438598219336994,-0.9755076502142912,-0.8304140753910088,-0.42075607530675696,-0.0823945112412927,0.5819428289815773,-0.18907966392242448,1.0064
