unemp,fm_price_exp,fm_credit_cond,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,inflation
0.5983265961142146,14.8,-8.6,-1.4200000000000017,7.845000000000001,1.0168809523809523,-0.0024216028383179378,0.03348039767569411,-0.00554920219465771,-0.026179525890746902,-0.018445778815749492,-0.9881293931498192,-1.0090918108792926,0.4481655252938858,0.5427161069512919,0.16168315653244333,0.6998728329145817,0.1915577604566161,1.074805906155671,1.0038
0.6796023478354932,6.8,-8.6,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.002394255440277604,-0.005508747781384216,0.005386427868447896,0.0394961805066778,-0.009977582043768862,-0.084979594270257,-0.7927016710353455,-0.700496359496796,0.1687030703165956,0.5889165146813398,0.2546179397937451,-0.20920273248572388,0.06941158218614875,1.0093
0.6864069846781155,4.4,-8.7,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.006575555366371333,0.005996942242108005,-0.0037401846141218442,-0.021752641635021774,-0.026712806111110154,-0.36627373055962115,0.05327513216414193,-0.18125166007294238,-1.2563802031889442,0.4996541588655477,-0.12192753847451022,0.25437530718651974,-0.1942994732338476,1.0090999999999999
0.7067685084882613,12.0,-12.7,2.259999999999991,8.233157894736843,-0.07261904761904692,0.0025952937798443543,-0.0044527448478657305,0.009328954338192474,0.009519719097415447,-0.016179671840463428,0.20411192609743362,-0.515382227291498,0.07615205466150825,-0.20655018293726216,0.6356591134094135,-0.30523662547363234,-0.5500724036719771,-1.0323257986714258,1.0043
0.7745356024918001,15.6,-9.4,-5.030000000000001,8.172173913043478,0.6450103519668744,0.00774711908545811,-0.01066609063657964,0.0015848884574900524,0.028243065881639495,-0.0027286401544319716,1.2960402130231772,-1.740477474872832,-0.3844438378048592,-0.004809769301132712,-1.179546928229022,-0.7817474703427704,0.036453180118840904,0.5915903703251485,1.0063
0.798338362066246,16.7,-13.5,-5.159999999999997,7.877142857142856,0.06070393374741201,0.004575928823703279,0.017029874442977544,-0.009332258363086154,0.02006876362879595,0.11187511541307416,-0.28685822105954506,0.7284998977841353,0.9135999604661648,-0.06550389396537443,-0.15139543059687693,0.5161714598960335,-0.7781578583899069,0.3812502570140572,1.0033
0.7445588543108035,13.0,-14.4,-4.519999999999996,7.949090909090909,0.127359307359308,0.005738105301551499,0.01708193917564138,0.0022733751532904023,0.010064956484079346,-0.009457874721382709,1.882900016760846,-1.6723024140383238,0.6457080665951169,-0.04625181095697586,-0.3368970459106091,-0.8141269777683893,0.611206925277107,-0.9872724458373126,1.0069
0.6914734939382658,14.6,-20.7,-9.659999999999997,8.240434782608697,0.4549802371541478,0.009140261656966686,0.0110271341840118,0.00757790194478325,0.007839095567987897,-0.04031787843127077,-0.500970791870944,-0.6709049076542525,0.19733636758234607,0.47170447454863274,-1.5560004777802232,-0.35910846836670035,0.49404388545394395,-0.30092565166593566,1.0065
0.7037950364959812,37.0,-23.9,-7.990000000000009,10.211111111111112,1.239065217391305,0.0008451859475613333,0.02234713516210718,0.017088141918575772,0.030160247834150056,-0.00580360365014343,2.573468264118686,-0.6892255133038598,0.7471567111687473,-0.1239978215290517,-0.17846765648545843,-0.4673142417694563,-0.22641198226845063,-0.4887959055660325,1.0058
0.7750895672719931,43.8,-37.2,-17.099999999999994,15.468695652173912,4.337021739130437,0.0031316671900061266,0.010627761354719212,-0.026080762729424833,0.011273293542732432,-0.019438872021915188,-0.24204527205560947,1.4159391946359299,-0.37361853989619015,1.514533887631606,0.4424809440767428,0.45292317418790623,-0.718841620817834,0.7384069929654007,1.0241
0.7307642692594901,26.3,-45.5,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.012759768996190246,0.07040601480963282,0.017012381315021585,-0.02995506144376847,-0.007816139773627384,0.05187101197652487,1.8396275094192616,-0.9648796384446878,-0.9310716503736866,0.11902747485575668,1.1228104510419894,-0.18411020109666365,1.4468213875049973,1.0415999999999999
0.8150068273191081,17.9,-28.6,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.005430691947671207,-0.05475512751705658,-0.016767011254858133,-0.02786134339454094,-0.04094225800675133,1.6683898723535997,1.3284146723546468,0.25211206640376527,-1.0005832296636044,0.3445243097810773,0.2948929562564758,-0.6544925900065025,-0.5890441732738204,1.0186
0.7422989804974884,10.5,-20.7,-2.210000000000001,14.902857142857142,-1.0367727272727283,0.017612168485950264,-0.08833057725450288,0.012484292251091489,0.0813873573288646,-0.0007805383442303082,2.5003571995886396,1.219289906280594,-0.6487148425024885,-0.6735894861398987,-0.050052317505616596,-0.34469156666999196,0.11149039165235033,-0.3223906157306257,1.0156999999999998
0.747550093940104,6.2,-14.4,3.6300000000000026,14.357727272727272,-1.2495454545454532,0.008239825287006397,0.013803125765157631,0.011591817268550741,-0.06099380885848049,-0.014187889971681855,1.2000663953702513,1.385475187416376,1.1945089384727205,0.9077059260848632,-0.05475583456556037,0.007641112536175437,-0.8561885281423661,0.5364832116292351,1.0043
0.7522739195918924,1.9,-13.3,4.559999999999995,12.828333333333331,-0.21603896103896147,0.022658384786062413,0.021358583878443582,0.003893030680227838,0.046213912809733415,0.012764400109698926,1.910130359690299,0.32395823868281143,0.7612140257947819,0.8726317205134158,-1.424909811408786,-0.1358058104533335,-0.12161673757430833,-0.20753647099712527,1.0039
