unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента ожидания,Компонента предложения,Компонента рыночной конъюнктуры,Компонента денежного рынка,Компонента спроса,Компонента валютного канала,inflation
0.019584149872943546,0.7800000000000011,5.9935,0.1849999999999996,-0.001074240164314233,0.009290142278366886,0.006588779404570033,0.029243244235805932,0.003886857229755236,2.4079179345124997,-1.5610230776169338,-1.5513029288228648,0.6392807845781532,0.6129534179001799,0.7425770772952348,1.0037
0.025793639294705573,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.001589952270956374,-0.015659510227646223,-0.0049044041901140645,0.001180662487941575,-0.007599174778865958,-0.4410926628054173,-0.14803451825324404,-1.3697194823070542,0.15449954178117933,-0.8131373773246515,0.20221858513388913,1.0097
-0.046892570989011784,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.013899998482173714,-0.002823714533676025,0.0042094790627409395,-0.002794464805070618,-0.025897381422030463,0.9874155119205504,-0.7451453230791822,0.22267677232098784,-0.26456463956747917,0.09296568914537864,-0.008511783656310981,1.0101
0.006290390783680766,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.011627687019190702,0.0006926258262396345,-0.0142154988024501,-0.015677093805647857,-0.0218100237681238,-0.7473760368367443,-0.6105777939983869,0.2087828565133838,0.4958867082493134,-0.4050890330212039,0.5348825550333413,1.0136
0.02981068831137068,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.014588208828985927,-0.025945951401917355,-0.014776924223125931,0.013666925527326512,-0.01796270324471827,-2.02821905183588,-0.07656988820706241,-0.42440561151690304,-0.4966766408354237,-1.049003428194428,0.8348641789952888,1.0108
0.10439964493244258,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.007696109837706189,-0.007003111148305763,-0.01263000198598796,-0.017376983782316557,-0.02736277646081753,0.4832651579169863,-0.7062490346912543,-0.41078389887076056,0.22821953303128795,-0.7383118892208559,0.3081342613985779,1.0065
0.03751003006936082,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.009649890910724324,-0.0033413036552225606,-0.020476174173232664,-0.0046842929648800435,-0.02140007730561244,1.6269999310999599,-0.1626854769553134,-0.2843479567218026,0.05353358043459535,-0.2145768901158458,1.2071866607593307,1.0055
-0.04254790092145733,-4.519999999999996,7.949090909090909,0.127359307359308,-0.005934643036207277,0.005827520061867375,-0.003535049301502724,0.024290346094129944,-0.03943538450635309,1.3801220641522285,1.1557063956464024,-1.4372408428068553,-0.04010523229181822,0.21135122871820217,0.06619044637441683,1.0090000000000001
0.0025782164356578097,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.001016975614236415,0.0021864298197122878,-0.006807043090764964,-0.0037502712550594453,-0.025476338751763805,1.7075297872474648,2.5215645957159527,-1.0924517379275998,1.2347425844744246,0.2874736007963766,-0.8676751184260878,1.0095
-0.07062958815409992,-7.990000000000009,10.211111111111112,1.239065217391305,-0.013014360233437827,0.010692206946101734,0.0001505524539684444,0.018051268220501626,-0.020649082808832375,1.0276813512510024,3.5161275426914522,-1.3402369520587758,-1.016871404921365,1.0395624173053464,0.6676943437488329,1.0087000000000002
0.07566723250747276,-17.099999999999994,15.468695652173912,4.337021739130437,-0.008431195362909705,-0.016932032318800694,0.006250978720130362,0.003221613362271114,-0.01575236514826628,3.8356452965323604,3.633316168812528,-1.1874861536550725,0.1321467231366109,0.061296082245100754,0.10056285157474452,1.0290000000000001
-0.057128739149885144,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.016463892220478726,-0.004718415724751068,-0.022804190341565445,-0.004417344175273286,-0.0007160859939876474,4.2853894493057165,2.705698364204248,2.3480519601638448,-1.1390757195841876,-1.4284452057896664,-0.5252148755213356,1.0395
-0.0049771541136828246,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.01764565883538971,-0.018476829252296767,-0.029276097771246512,-0.0669847597368971,-0.06308990089605437,-2.7190529518978086,3.8194801884765646,1.822383503330685,0.28635334493178005,-1.6366197196485586,0.6417486701331341,1.0252
0.0532184735252913,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.0218908583819708,-0.014439952909226506,-0.01858875416662542,-0.013089972067527711,-0.040953194374928614,1.4018273611923155,1.168617369836501,1.1999963769380926,-0.19172805586254912,0.5571524181260085,1.450518025704404,1.0110999999999999
-0.02662451593930759,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.005252149310299714,-0.008899833389509837,-0.02630254033949697,-0.01783076929391747,-0.022826099372716513,-0.7471698731871359,1.4740756225829217,-0.027272937231097277,1.3653928727405007,-1.8260505776192582,2.0981370724411224,1.0110999999999999
0.023428279902941274,4.559999999999995,12.828333333333331,-0.21603896103896147,-0.00024880418902206713,-0.016743386197493493,0.002835383773261313,0.008362397311204361,-0.029341282718977624,1.224285838631111,0.18198784793648917,0.2434417205204862,0.1668534214355953,-1.8614533862327902,0.7767311483838479,1.0037
-0.08254340103697211,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0019624062342114,0.007325889646310202,-0.021605796705804536,-0.035457372646162,-0.01087715710550441,4.167661959327562,-0.004421334127991305,0.6647640411757755,0.3689439523612167,0.7758399154926608,1.4809160079998875,1.004
0.00879749712041622,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.003779358052378612,-0.0048194020970555584,0.007743296037233449,0.009544851806220223,-0.017366535121276172,1.5414082006722858,1.2135307142137577,1.1955784331985304,0.5161567289607025,-0.4843452821848955,1.5832211167163157,1.0046
