unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента спроса,Компонента ожидания,Компонента предложения,Компонента валютного канала,Компонента рыночной конъюнктуры,inflation
-0.034824576246065386,0.7800000000000011,5.9935,0.1849999999999996,-0.0035872272649015713,0.03232247065275473,-0.0002795538712518919,16.35794860665679,0.018831726357719347,1.3225664181468981,-1.3496761062085108,-0.24120080352103293,0.2050307466900643,-0.7121092102651926,-1.0386220095885503,1.0039
-0.008102483898506874,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.0018952803297676013,-0.00625094856051156,0.005196810583290912,16.38793617551746,0.021950762276093272,1.7241257294430763,-0.40021398365410826,-0.4332460469294037,-0.9942695501304333,0.2714397725218888,-0.6431321376626502,1.0119
0.03375215299857459,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.0143891905724427,0.04202731006392213,-0.0066839486929808345,16.394640522002565,0.012096412998765516,0.8614230803462805,-0.2161604822741206,-0.6329847294689779,0.0001465370728877993,0.2024701833071261,-0.8531649086149888,1.0077
0.021911062197898457,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.011625457016695151,-0.03863019773428533,-0.0017598639746108091,16.38125748887586,-0.01921257537155263,-0.35489155180067955,-0.4906405266178692,-0.22735226813381398,0.520624664397766,0.049115692946413846,-0.9201221782781185,1.0126
0.008568294865021475,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.01582172427783135,-0.009435298071265308,-0.022112231892993606,16.375384452823898,0.021077717980178434,0.4783281590564835,-1.1122282674491317,0.7523978413804194,0.9693814633886119,0.1516134141629179,-0.4689282613702052,1.0070000000000001
0.05699317606598353,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.005935514461405944,-0.010105388336526744,-0.019440232614533315,16.383621104222424,0.00019261380877644285,1.692508122330385,-0.2449255642595374,-0.4252195071166961,0.02741192190640972,-0.19620108658837576,-0.3933143537338131,1.0081
0.005726661588935977,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.01034539682919089,-0.053275046261006764,-0.008567461591271197,16.37617563245981,-0.00616502009013864,0.5583581310647041,-0.2913550911836239,0.7925853173604991,0.3507749216293623,-0.5345050616183529,-0.4309598161749488,1.0065
-0.029654009333345388,-4.519999999999996,7.949090909090909,0.127359307359308,-0.007421177321880634,-0.018990097722298316,0.002750411027898636,16.386695592018125,-0.0022881795823064266,0.9185518007602389,-0.3494181263408729,0.4748751271788455,-0.3523175363632808,0.29430964259119397,-0.2695337283426532,1.0126
-0.025730427004875822,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0022509749714032523,0.014176690038256723,-0.00037973535463819985,16.386453425827575,-0.0008730035212707321,0.9052372911921771,-0.5410489833085745,1.8633226751094507,0.4885322618578782,-0.6911854985300452,0.39750461055324077,1.008
0.019157154342059557,-7.990000000000009,10.211111111111112,1.239065217391305,-0.012883271268961494,0.005586446805498468,-0.012347068843514108,16.401199428744988,0.01681060401250889,1.4230591975629403,-0.0011958893838558723,2.3045639192616476,-0.38748496186305154,-1.192929565802346,-0.11689335645498629,1.0105
-0.0192687142318671,-17.099999999999994,15.468695652173912,4.337021739130437,-0.008794121170629055,0.020438081817721,0.008381435013980365,16.38047032857317,-0.020266872218146048,4.526972037906366,1.16723793533144,3.266223338040089,2.454702942717387,2.4139140515491766,-1.6159046721623251,1.0314
0.011515084092848127,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.016904941930112827,0.014448271053867145,-0.012233085477197037,16.374587586840203,0.012080665224345921,0.16316440555759923,2.4120573898173334,1.0667458547675592,-1.192858413772338,-0.9384167536696717,0.6388659326317575,1.0373
0.03451874880263717,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.015902722803915026,-0.04658885866833806,-0.037952468910928516,16.3425277166413,-0.04950108740717063,-0.8426958749587675,1.8661119451930928,0.7589266764341259,-0.6971817910938095,1.0652035811943,0.12176074216915721,1.0283
-0.027310940225710123,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.025260462469068656,-0.01675470024414416,-0.023312151729024677,16.289780177674285,-0.054620397767559226,-1.0964505799491777,2.451072534889423,-0.0479781800401312,-0.011150131355687964,-0.5550979263401006,-0.4550853393207796,1.0146
-0.006394144434427873,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.007690404261168737,-0.06879436366831015,-0.009630159384709458,16.251565360626014,-0.01353659955081099,-0.1088639349970925,1.212951986661284,1.0304243782386067,-0.48382102992896536,-0.430624243697237,0.1993382255586352,1.0090999999999999
0.004170423837956849,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0009691488766847556,0.027645546283531885,-0.021174067289241094,16.256510773449676,0.019608422490460242,2.4066992253893615,0.7872490838789412,1.425557534610194,-0.7396813509694574,-0.5148735654325265,1.0111337976220045,1.0018
-0.06390447421962347,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0026354603889515715,-0.02754533550476701,0.01321487723189918,16.244402697865176,-0.010387946438441986,0.5698493426768518,1.5222704444336377,0.893341788590582,-0.6203124418422181,0.10715563313707581,0.0016952746756853005,1.0051999999999999
0.0312140231120952,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.005638769957990064,0.007568444013591247,0.021575744275297737,16.226587320802988,-0.008173723919213671,-1.2727546207105993,1.5406843157771888,1.277267077604653,0.4776369996927933,-0.2736157440416222,-0.2278515919287993,1.006
