unemp,Brent,MIACR,obligates,M2,paid_services,money_income,trade_turnover,debt_firms,Компонента рыночной конъюнктуры,Компонента спроса,Компонента ожидания,Компонента предложения,Компонента валютного канала,Компонента денежного рынка,inflation
-0.011648057157514158,0.7800000000000011,5.9935,0.1849999999999996,-0.003640821594423471,0.028546621104815983,0.006011679154031668,16.998689592523277,11.803589720159113,-0.4857448961239967,-2.2927619732760096,-0.22943013777221982,-0.5834553135471275,0.4438765623389986,-0.5601247733960624,1.005
0.02708992654962228,-1.4200000000000017,7.845000000000001,1.0168809523809523,0.002548528381801418,0.028286161909370833,-0.003319040422535835,17.018965647304398,11.814482953384198,1.5721607406613263,1.0616838775973088,0.019869512216507478,0.6312521083544671,-0.3204426996043344,-0.412897691304467,1.0138
0.020925083929276056,0.28000000000000114,7.874545454545455,0.09534632034632029,-0.012217770485921875,-0.008690152345289803,-0.00789995988792036,17.026104696618432,11.802676994845912,0.2002952731423321,0.3342345955629846,-0.03231476686087099,0.7368711998127289,0.12037283074834436,0.028022514162016784,1.0062
0.04466547573971136,1.7800000000000011,8.214736842105264,0.45727272727272705,-0.010674468288128125,0.018714988069230998,-0.007923718965878734,17.008838130959873,11.791218649709858,0.4096081285646156,0.4406262443276567,0.43975173235622445,-1.9036693492166628,0.5753487935163315,-0.10762115236307035,1.012
-0.010298151111639786,2.259999999999991,8.233157894736843,-0.07261904761904692,-0.012459556968321905,-0.03342834972683839,-0.00421279362974758,17.00976911730565,11.768419918384057,-0.8309282616511836,-0.05739760522741423,-0.17168665216576717,1.3185980164356141,-0.07434798468512721,0.3338669327886345,1.0036
0.11980138717434019,-5.030000000000001,8.172173913043478,0.6450103519668744,-0.0046495211593367,-0.023323393053587438,-0.0211593462220101,16.99923662632112,11.753207909015025,-1.6618687219477084,-0.3514320011783777,0.9228951174074896,-1.5444101611063743,-0.8951207351749957,-0.13913520255787865,1.0042
0.05816285013450462,-5.159999999999997,7.877142857142856,0.06070393374741201,-0.007631249482342284,0.008560861240257012,-7.558683669728339e-05,16.991795574503673,11.736152520904621,2.0207704861989466,-0.6298917610362905,-0.5085587492658988,0.7392868876375986,-1.2434100051498895,-0.3281301621650251,1.0078
-0.13297571406644226,-4.519999999999996,7.949090909090909,0.127359307359308,-0.00532501165031718,0.012262718907173564,-0.0012012066261153365,16.97535779512116,11.721658629606091,1.4125836345317433,0.7954157805856975,0.5106766712155147,0.6629344271850987,0.4740641296470379,-0.016612455460369928,1.0084
0.006638196810399677,-9.659999999999997,8.240434782608697,0.4549802371541478,-0.0010011332600967648,0.004133868484286651,-0.015648362426132323,16.98212725840177,11.709457615268033,-0.5820528798891039,-0.9744280357609163,1.2865422209173167,-0.04957654205934608,-0.9705862536104366,-0.23766533603272802,1.0075
0.004967498218647615,-7.990000000000009,10.211111111111112,1.239065217391305,-0.012053549591271917,-0.009932449717842573,0.0040407031650868674,16.96226638602007,11.703513556341148,0.34495607665527206,-1.8398029401816751,1.5025008726695388,0.36484525065759404,0.16241077104230073,-1.4324176673538886,1.0131000000000001
0.022896301916654593,-17.099999999999994,15.468695652173912,4.337021739130437,-0.008860017657964292,-0.008931945768889449,-0.057266941152899875,16.991123472025677,11.684318408850036,2.932874155458277,-2.6311183866362966,1.5102431051124314,1.9403753888376605,-0.6103569629256511,-0.9285430741238552,1.0238
0.03370828582990115,-14.580000000000005,16.964666666666666,-0.6292490118577092,-0.017173572345036803,0.020482445269555782,0.029081875568008897,17.01142115014783,11.686438939045564,-0.9268288118896496,0.5222437408271514,3.1093207242932572,-0.19632614914362276,-0.5833979879516342,-0.06114516875104013,1.033
-0.025824434293270304,10.340000000000003,15.116315789473685,-1.0477727272727275,-0.011894299898205674,-0.020384586951557537,-0.034296836353707505,16.962061698086323,11.641703827240233,0.8476674305794308,5.014706877076927,2.1260049368894958,0.027430694163951573,-1.176858062040165,-0.20030525150317705,1.0256
0.0033436803587401087,-2.210000000000001,14.902857142857142,-1.0367727272727283,-0.020698307423691276,-0.1598510588815163,-0.01221527286954327,16.928035303401035,11.59619166402864,-2.1585804661424146,-1.0663486910786932,0.8513684733217575,-1.0375876924587994,-1.0745453026366347,-0.9361734483953789,1.0176
-0.03571600529532559,3.6300000000000026,14.357727272727272,-1.2495454545454532,-0.007338862757872988,0.017932256549924475,-0.011864073455031487,16.897808869888717,11.577344788744723,0.8477999865188363,0.4529304666987836,0.5439845105811741,-0.60180448716441,-0.21288843321638956,-1.1762066899824686,1.0063
0.0536873720342943,4.559999999999995,12.828333333333331,-0.21603896103896147,0.0032210819853890627,-0.02522993324691747,-0.006833135251632427,16.906500959542704,11.554084345759236,-0.5886725496891292,-0.7765308546334442,-0.45721846923585996,2.448088992348985,-1.7972585191721762,0.02267871436806153,1.0037
-0.08664043959660783,-2.6000000000000014,12.503333333333334,-0.27623376623376394,-0.0014882854578512905,0.02455357891556531,-0.019815223685270666,16.883231510773538,11.535705419308838,2.0764252034830712,0.33619590055784954,0.6321248720309992,-1.314172273751097,-0.7148669793800574,-0.8587918332029455,1.0007
0.02055483786070278,-4.919999999999995,11.524347826086956,0.08083003952569179,-0.002873351599138374,0.046329729456225266,0.0225191355112635,16.885029418757163,11.52758948325495,2.118445381973086,-0.10092017052966334,0.06137878944475556,2.209247841795871,-0.07046996371532296,-0.5707464516718096,1.0041
