fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента рыночной конъюнктуры,Компонента спроса,Компонента валютного канала,Компонента предложения,Компонента ожидания,Компонента денежного рынка,inflation
1.83669238351397,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.0010675832220634618,-0.00491317391887236,0.019992971551179295,0.002454640216090098,0.32029477574558485,0.7141387067131046,1.3633727856096833,-0.5991821469927789,-1.0179731051940815,0.6391297546200102,1.0069
5.4913374778927695,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,-0.0001941846176034545,0.005728402848188097,-0.004941426449901698,-0.010384366670944445,0.7641387483158774,-0.5894626140798137,-0.7514903895697278,-1.0640866046939452,-1.9770006010291161,0.6143079868701853,1.0090999999999999
8.949353900740782,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.011029858714083574,-0.022706906790254777,0.012632999395080446,-0.015296665989142255,0.1321634896377427,-1.5517030978959927,-0.45976826973497986,0.22370406451057717,-0.011114265665770067,-0.05133906248298005,1.006
2.11625384186924,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.009325473042519405,-0.0004161314822610507,-0.011354431429319689,-0.01309516829883961,0.6349127514727781,1.368191402994007,0.6970270147310532,-1.9772415104245815,-0.36437474474612813,0.2053497141660989,1.01
5.79752475500288,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.011065378639681711,-0.00015864092339867852,0.0058776697182061355,-0.015845579496534867,1.3349624537833338,-0.2616383365538112,0.035951506986691986,-1.0831689573903265,0.5137677190300193,0.23861674331676713,1.0053
-1.6218704088124298,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.0036234275583151287,-0.015748469338614512,0.0061803032922345125,-0.017272294380807907,0.2696773273840215,-0.7216084440172216,1.1860773638057518,-0.59522898949198,-1.6545148994846743,1.5620642347851252,1.0063
-10.8183206173894,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.008462516131798381,-0.011494814587775792,-0.012857913364008766,-0.014640930654392648,0.9126201692589277,0.8469867198842038,-1.8111814458613937,-0.6646349947058594,1.0498401353263396,0.480154363275948,1.0051
-8.634809719965869,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.005824004855663034,-0.00708984852630401,-0.0013541486422248283,-0.09556357639661073,0.6255740746419035,-0.04244312736066913,-1.1890460023653735,-0.2436379143776384,1.4473316859115313,-0.018465219782099866,1.0065
-12.8779545066672,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.0007901875228313315,-0.014896706881057042,0.013945591592802842,0.0075224863912684015,1.4484687680849313,0.2814687908725896,-2.0490956677586873,1.0355759310297588,0.9814846992716152,0.704714033804386,1.005
-22.6945998752758,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.009699646175327814,0.021974470997337292,0.009351144815775925,0.003919179564523034,2.120618702080662,1.0041823330065096,-1.514778299231427,2.4745799559377053,0.4769396886552396,-0.20528465812967006,1.0054
-13.7057443145197,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.005090566546051889,-0.007765577425528747,0.025944616524474995,-0.02809435668326188,1.8741422351039587,-2.3196235301023034,1.2839534886540196,3.032214621853063,-1.3604182534193712,-0.6939170305962707,1.0321
-26.207927170795298,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.01856516985987966,-0.027396929173619355,-0.02856253755739857,0.004453423543939294,1.1389645024158301,2.7854846372879427,0.9724308726102635,2.056796329784063,-0.6013484153120798,-0.5197234456533987,1.0368000000000002
-13.7512935929797,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.014081457872668679,-0.037239057052399716,-0.037437669537087714,-0.05744541707768214,1.1393799826765663,1.3262548173921194,0.3092732382820515,2.304304502075986,-1.8871875380264158,0.7812607219502318,1.0195999999999998
-6.063278507947969,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.01585796335935541,0.0016555740357677706,0.01407095721476459,-0.05691646064158107,-0.0688268062069331,1.3738923121336213,3.305060450367458,1.4776021531392045,-0.7678087759816262,-0.052633404679822166,1.0143
-11.1503937695153,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.006748391702581458,-0.0024370116855401136,-0.025302850285829237,-0.027867347683205423,1.070863736613846,2.3868065993544767,0.9265365226599577,-0.493175174196719,-0.08031878513097813,1.3430107534651943,1.0076
-15.321277073669998,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.0028023912799621797,-0.011756622591194699,0.00634694579619044,-0.02192906117199378,0.5886754835960482,-1.1404538433251004,-1.1404616263862455,1.2684428869845001,-0.38307148508171945,1.5301759870211429,1.0049
-10.5036476295696,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.003103535192295226,-0.014328823675329616,-0.003733992689500809,-0.027355359150950775,-1.5322970153076996,0.38711160760015473,-0.5979802454326557,0.8657529074727845,-0.8856601070117534,0.9751940493191938,1.0036
-1.77694257044844,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.0037245146833591036,0.01015993959994077,-0.017633489936789815,-0.0003761029374640401,1.6132592896305558,1.680395321124747,-0.7525494881123536,-0.9001650604932847,-0.3951692139464277,-0.305275123442732,1.0034
