fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента спроса,Компонента рыночной конъюнктуры,Компонента ожидания,Компонента валютного канала,Компонента предложения,inflation
9.4,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.005202164634992457,-0.00042472753259303886,-0.02701720599979751,0.0026418150378972882,1.166797711847704,0.10924038141603142,-0.42992618155523105,-0.027450622318213363,-0.530988104596909,2.4762542060940476,1.003
14.1,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,0.002066737590610046,0.002023362874744805,-0.004984207164167032,0.015936513215281778,-0.04993594838942944,0.46551545803639455,0.3132351117862291,-0.3791714135353158,-1.5713809282413507,0.45090569971829697,1.0012
17.3,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.007394222333537925,0.005952559950776148,0.014208944007290114,0.0023322927383535585,-0.7084785729336787,0.43715060754244633,-1.3459608156590441,-0.8096984262567384,-0.10629240960105242,-0.033122874803902934,1.0095
14.4,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.008512831474607907,-0.027178323387955672,-0.038554747662406186,-0.002391757821440521,0.23342938916253386,-0.3436457636756121,0.2445141644375134,-0.47780439186284934,0.5835938650964047,-0.09301426976585342,1.008
13.5,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.008335587786774568,0.0009541380344924022,0.0029851603493114,-0.004668506779387016,1.109033913850849,-1.0991933894446289,-0.6295629197336625,-0.16121921403596023,-0.8823744240400386,-0.6037523409366836,1.0086
14.0,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.00290795587522652,-0.0017190769254682436,-0.052150839054945664,0.019016551903458634,0.5867167485807396,0.23554270742642078,1.2467463298998438,-0.7971211121484546,0.3566372207385874,0.2977472819027418,1.0073999999999999
10.7,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.008846183899629878,-0.0004185350371361807,0.014470522771492966,0.0007489610048700968,0.8337965438425106,0.780268628182042,0.09542795792327077,-0.4084489886309562,-1.072673605849499,0.034780952281761174,1.0033
10.7,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.003143634270994511,-0.00545213951603607,0.00028924396299956356,-0.0003653798127558616,0.4337614216167287,-0.3968534449240176,-0.07883787882298088,0.02917044503325463,-0.14297378775062494,0.5239132640917438,1.0067
6.7,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-0.000352549059291718,0.00799964588638602,-0.008719319071779807,-0.014932697737295442,0.5979515467134278,3.8278714248551347,0.5073434402090061,-0.10309588929894707,0.981257049982073,0.6485823362760625,1.0063
-2.2,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.010652185818335269,-0.008551489277159874,-0.001328477686261209,-0.008826241748042918,1.7967518546032228,1.3082679082714825,-0.24926206533579207,1.205097996710497,0.2705756601062099,-1.532993210872057,1.0105
1.0,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.007493672443262156,-0.015618259002938117,-0.011643679295556097,-0.004465399925001279,1.727266792205373,0.8279268077589206,-0.33025012765796413,0.7090200011406078,0.2467374619338342,0.06021520769840757,1.0209000000000001
-2.4,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.015560803322619776,-0.004200125504782548,-0.06352960969491761,0.008705446159481767,-0.628764517076311,-1.587032655437367,0.32860999174381195,1.0962787333590631,-0.8131940870836282,0.9944505281645563,1.0278
8.7,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.005888104886540901,-0.021368419163604102,0.02280348651358821,0.004974661782446432,-2.4471772314559956,-2.294936644993651,1.056996511553589,0.4897301225061703,0.546438040377096,-1.430729633214145,1.0193
11.3,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.0164447558626879,-0.026154440434511983,-0.03278288858181,-0.026733731352686974,-1.106557637486903,-1.4319471238005903,-0.4171242016971498,-0.5834688877022719,1.3602642907469933,0.8493743516079862,1.0136
5.9,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.008394891157086803,-0.008282467785782899,-0.03582375281196448,-0.00888920703238405,1.9374279012555822,-1.6823977569406245,2.0221283584875143,0.3083706259897375,-0.32830574503808824,0.6335485493686316,1.0108
3.0,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,0.002510648974404006,0.0053877638496580005,0.020940679528951733,-0.008544967890506072,0.06443833276271167,-0.712099197535597,0.12864583358341128,0.1068609514054665,-1.1063104225272706,0.5519629470640031,1.0075
8.7,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.0051497648600058454,-0.019121621831686753,-0.013246627982155701,-0.005793243025841832,-1.047643262384875,1.7803027024840468,0.1957407888265944,-1.0477986991844443,1.0168588690858178,0.5022557117150247,1.0073999999999999
13.4,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.004837621218770849,0.002176681301426342,0.04958985513654568,-0.04045756884025131,-0.3777458380862155,-0.5810239951955913,-1.7802129248227831,-0.368919784502014,-0.12989283834812085,0.18102838966385276,1.0008
11.4,-10.04,10.858095238095238,16.007082152974505,0.610165631469977,0.003708043488899193,-0.021511303600178167,-0.050487804174199624,0.009817916298940688,-0.5893182989285037,-1.2225438600867833,-0.4457762581055614,-0.6311034358540819,-0.45866983552453783,-0.8790618671698269,1.0088
9.8,1.0999999999999943,11.146363636363636,15.260416666666666,-0.4400865800865823,-0.002368882055753474,0.0017144229025038982,-0.018822197925082662,-0.00041649414820277286,-0.9342704725453402,0.897386943788337,0.10508802234522889,-1.0689645848345126,0.060738039017389896,-1.2455128489930654,1.0047
7.7,0.8100000000000023,11.14090909090909,15.84010152284264,-0.24545454545454248,-0.006149819984658578,-0.007282878828695161,-0.003953925973366523,0.04521316524819241,0.45419878282649057,-2.7746868507923357,-0.6671118750617974,0.1739651224918757,0.2668672828811789,-1.7828730325080364,1.0049
-3.9,-4.159999999999997,11.425,16.443444730077122,0.23220779220779164,0.008507530479056058,-0.012368905029465083,-0.00531636582997308,0.014601918663958102,-0.411390014238711,1.296923523309005,-0.2768822022951419,0.04150488573485951,-0.639674782179403,0.8070907055013156,1.0038
0.1,-6.260000000000005,11.066521739130437,16.714285714285715,-0.22291925465838425,0.007525859640987065,0.009700937577843405,0.005481448527035582,0.017761146776811287,-0.7179915372557709,1.4499541982033528,0.831823403464951,-0.763734163253649,-0.8739657862555691,1.1161686941231843,1.0057
-1.1,-7.309999999999999,11.017333333333331,15.74,-0.40517598343685357,0.021319169658468695,0.0067485267485043465,0.034933825410213615,0.02442301875987596,-1.5016660248013436,-1.455843702330296,-1.7258303607260208,0.1720209226531682,0.7965413444793671,0.8330242491863286,1.0048000000000001
9.5,1.4800000000000004,10.8425,14.74,-0.39285714285714235,-0.004212215265697594,0.0013542849320362649,-0.02691744786946515,0.020308767192327437,1.212626968150826,1.1012296860298858,-0.037873097680520496,-1.0853570256101992,-0.48658300368269475,-0.7400380494087143,1.0054
12.2,6.030000000000001,10.94047619047619,14.5987,0.18672877846790747,0.0027515177052936934,0.005303424777327592,0.023105420604515814,0.008741123436646347,0.184763216817358,-2.9726363535160973,0.17390942486267982,1.131037481529648,-0.9268334202797391,0.6738300382188182,1.0062
6.0,3.3699999999999974,10.732857142857142,13.6,-0.11720496894409926,0.012528653551761693,-0.01953690924907292,-0.02504450299918659,-0.0019043784510941464,-1.1931820200845946,1.1059157562715345,-0.35202788513229855,-0.7227619708911932,0.6417420796933473,-0.6341988347090124,1.0047
9.0,5.160000000000004,11.06315789473684,14.1881,0.1510389610389602,0.0017254050649828656,0.02620695852461985,0.012093039104232872,0.008999095405338053,-1.4215756950466139,0.12849645536269677,-0.3071381320728608,-0.8009690545191571,0.019711324728530395,0.3208103160617078,1.0026000000000002
12.8,1.509999999999998,10.639047619047618,14.2875,-0.19590909090909037,0.010747460364807893,-0.002673151171176613,-0.03647428552378429,0.016908422391306743,-0.5344767285939063,-0.7861443950488111,1.1172990382966297,-0.12936958939843596,-0.8170781574197489,-0.4879992703140344,1.0018
15.4,-3.299999999999997,10.37904761904762,12.5623,-0.3408441558441542,0.002166582140622708,-0.01605035392610432,0.01138040179513311,0.01718038596855287,-0.8571450467245016,-0.30513568867697555,0.2126932004151374,0.18940937624602575,-1.5485519250842898,-0.7892953064074167,1.0042
13.7,0.8900000000000006,10.339565217391304,14.2065,-0.17447204968944163,0.005788600010752987,0.008271704718668005,0.01274975321912919,-0.02473483528618914,0.20038935981442293,0.1653418246138798,0.19798960055589152,-1.388225501301949,2.0392170175419557,-0.2982429835130799,1.0
12.1,0.7299999999999969,10.238636363636363,12.3462,-0.015592885375493637,0.003559031149464431,-0.01046456719977229,-0.0036975883167436052,0.0010211496056928837,0.07862947754579787,-0.5692710258533248,0.6864582716962421,-0.4462679734765632,0.3389117352322392,0.6831608940827544,1.0039
9.1,2.950000000000003,10.323333333333332,13.677378,-0.10564935064935099,0.003931991240010646,-0.0300399566986993,-0.0048227970272733955,-0.034928731644717104,-0.32583610481953224,-0.4491600308341955,-0.060446256624704826,0.05573657366300025,-0.44541679768364045,-1.5875693623535907,1.0034
2.6,-4.790000000000006,10.017142857142856,12.3526,-0.3648051948051947,0.002971253333299728,0.02616202468845863,-0.01824195332097389,-0.005497112943972482,-0.8268319405896475,-0.8943360219838049,0.28117615031101184,-0.6440675390097705,-0.17211147298757112,-1.087523048921877,1.0026000000000002
5.8,8.580000000000005,10.160454545454543,11.4855,-0.01681818181818251,0.0016531062355582549,-0.0005238330501917687,-0.002242891377413514,-0.05297634369442328,-0.8204357910314294,-0.6270673636947842,-1.137513608970406,0.19166166317342165,-0.41123623244430396,2.0528486944001365,1.0026000000000002
4.4,1.269999999999996,10.114117647058825,12.8791,0.4422727272727265,0.004128790652181635,0.009838943693910807,0.025865248080851444,0.009681798112600504,1.5720818923981297,-0.9505089744663276,1.7390131753092064,-1.06600489089474,0.5650698382492892,-0.5624386650964422,1.0024
6.9,0.28999999999999915,10.14111111111111,11.16206896551724,-0.02836363636363437,0.01902325011007555,0.019739433470439494,0.011135680003775406,-0.10859929720867001,-0.877669389990885,-0.7033157283474304,-0.8131008592658939,0.5824961767638562,-0.5394738310820866,0.34227492164134954,1.002
12.1,-3.279999999999994,9.897727272727272,10.959,-0.5245217391304351,0.008262119076588803,0.016303302533565045,-0.005599867005798842,-0.01756544303771257,1.4507011508445764,-0.0772223732920123,1.175634244161076,-1.2846395692807773,0.3975788948802217,0.8454294290281879,1.0015
3.2,0.7199999999999989,9.5765,10.2704,-0.20297826086956583,0.004970635497441478,-0.017321574609463042,0.024030377378213785,0.010699053411975967,-1.1795522036522228,-0.7236473474241333,0.8592748388208474,0.18886259734273056,-0.16966753925771816,-0.2576100061287106,1.0024
8.6,-1.980000000000004,9.1345,10.3398,-0.16050000000000075,-0.0024014796638720526,-0.0016548101038580398,-0.010268408923082006,0.009597754926492286,0.5282077084604453,-0.5397280911840943,0.048955497416468256,-0.25454207731855594,-0.24921721429763627,0.2803968823888912,1.0012999999999999
9.8,-3.960000000000001,9.10904761904762,10.6924,-0.07681818181818123,0.011068010040720111,0.01777700224665324,0.02884390642525858,-0.012871986059446172,-0.0867747317019304,0.004537168256328692,0.43543626789809425,-1.277554000510107,0.7859967269239841,0.8649839769467129,1.0012999999999999
10.2,2.1099999999999994,8.947619047619048,9.527,-0.21556277056277118,0.005495789992250977,-0.01754801107173165,-0.03845246262451951,-0.0033248249798774054,0.04146446604747261,-0.4969493856673778,0.6857383755844906,-1.052275504777906,1.1686240914709523,-0.9719633657745606,1.0011
9.1,3.220000000000006,8.536521739130436,9.5559,-0.19761904761904692,-4.540674438402448e-05,0.01813249465375577,0.009848290637805235,-0.0037285543571226043,-1.973016852463438,1.012002063804056,1.1060902891531996,-0.5256153528594795,-0.988661833397722,0.464293619607973,1.0015
11.6,4.449999999999996,8.373809523809523,9.85,-0.09571428571428608,0.0036103486254965844,0.0018668176520275637,0.006354517655058345,-0.02225444469634219,0.5796397744203056,-1.4137762016428446,-0.84491492135011,-0.9365355084915123,0.0980053599632244,-0.05438570961835045,1.0024
9.9,1.3599999999999994,8.043181818181818,8.6866,-0.2865584415584408,0.009069325829162977,0.018026675862266472,0.0035406551186909496,-0.04001202468288234,-0.7376664569767314,0.05723630172238032,-0.25187377034504727,-0.5853325756969643,-0.34423858794015816,0.38479654090242943,1.0002
2.9,5.200000000000003,8.014285714285714,8.7425,-0.5049999999999999,0.011063385436667517,-0.008181692117897654,0.006564140170841171,-0.017255710837359217,-0.9931383566999856,-0.5641342842944697,0.843902114049604,-0.4241553622936602,-0.4792700799720371,-0.8300861935242899,1.001
7.5,1.6600000000000037,7.729523809523809,8.8793,-0.08177489177489239,0.004267157327332072,0.009013722908113309,-0.019242323282803397,0.0675089219388898,0.763933887647952,-0.5898938449477112,0.301920031318646,-1.1808983031271347,0.7036243112358239,-0.10041161101028531,1.0014
2.7,4.709999999999994,7.087647058823529,8.4402,-0.38051759834368415,0.009113191546287425,0.014066987153386279,0.030174250286332693,-0.010408830215334675,-1.0053975357527307,0.8761226036389491,-1.0431536163313515,-1.303201960192356,0.026149944673207148,0.025876626212083906,1.0016
13.4,-3.760000000000005,7.145263157894736,8.4687,0.3475652173913035,0.00857172145390983,-0.0005727903041012894,-0.0027487443623819274,0.04692075019406694,-0.8596594556502093,0.2272321406407703,1.195547604565056,-0.726662134704082,-1.0779913492258246,0.4751798801614851,1.001
15.9,0.7000000000000028,7.1465000000000005,7.8145,0.023363636363636253,0.006779526658361235,-0.003946508810631855,-0.007905653866377094,-0.013370499370568112,-2.1994442790374795,0.9567837934959198,-0.6982159040160896,-0.2795516333598343,-0.9699633069300724,0.09699376205224854,1.0011
14.3,6.090000000000003,7.002857142857143,8.5564,0.22768398268398293,0.010136740931832477,0.03135473417709278,0.04630759200786372,-0.02446135774380842,-0.12321388558267345,1.099004982347105,-0.859963535463737,-1.0500586733384956,-0.6740129734781057,0.7902853156209977,1.0017
17.0,4.8700000000000045,6.9455,9.8368,0.09095238095238045,0.014110491532877134,-0.013292495720047981,0.008131494218538649,-0.04127929157940535,0.5489352784499261,-1.4594754527665716,-0.1388201572333475,0.48956469571079037,-1.2030944638152845,0.9120922790811974,1.0026000000000002
17.3,-2.5700000000000074,7.0215000000000005,9.6818,0.4666666666666677,0.0012297872341466842,0.0033615471486161397,0.011524496829917297,-0.02351384310714444,-0.27129525147825284,-0.6185797078231836,-0.7527887113662373,-0.9422321194542297,0.8173716461244864,-1.517943285923384,1.0037
20.2,-0.1599999999999966,7.089545454545455,9.9011,0.211515151515151,0.00986150146185416,0.016393438756425738,-0.002710635066787148,-0.011756329092106554,-0.09030306296349344,1.8631127255013988,0.23157095985444248,-0.3022518276954254,-1.3687171718780917,0.5541245964050487,1.0031
21.9,-1.7199999999999989,7.027826086956521,10.0697,-0.03557312252964451,0.003080751104228341,-0.010282999357544398,-0.00205809407296087,-0.01348494724277316,1.1298879293535848,-1.8433873990448353,-0.46968172473594577,0.6125633952319254,-0.9257301791878911,-0.5662910003528513,1.0036
15.0,6.359999999999999,7.148999999999999,9.3386,0.1763913043478258,0.008001513517831071,-0.0023958147967508836,-0.0016446842144901552,-0.001774078932530898,-0.8253685311202615,0.5467465256836537,-0.7479978571573054,-0.7108730401387182,0.0027644851212483006,-0.37575454659829416,1.003
