fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента предложения,Компонента спроса,Компонента рыночной конъюнктуры,Компонента ожидания,Компонента валютного канала,Компонента денежного рынка,inflation
2.2114508088018496,0.7800000000000011,5.9935,11.795154185022026,0.1849999999999996,-0.004806086203663185,0.027386974518044838,-0.017905796504392057,-0.019244813158872276,-0.3872544079596606,-2.0806747557299774,-1.112301973926166,-0.07222924041709665,0.6444858250517124,-0.5199640732365519,1.0067
6.64707539500736,-1.4200000000000017,7.845000000000001,11.522132796780683,1.0168809523809523,-0.002525934098059679,-0.03795157411496142,0.0293233799069732,-0.0395640229765295,-2.1513969444791496,-1.4297694924190856,-0.05111976353573388,-0.984089262735827,-0.8418937255928728,-0.47271642774612527,1.0008
10.084345285813198,0.28000000000000114,7.874545454545455,12.67274472168906,0.09534632034632029,-0.010496325179083499,0.005993580927487585,-0.002851189715249447,0.011362995932135078,0.03601210649195997,-1.2951174028319192,-2.1357642483539356,-0.02232997035368752,0.40665899777923176,-0.7489306165535715,1.0041
13.0808244665178,1.7800000000000011,8.214736842105264,11.720956719817767,0.45727272727272705,-0.005711244239712698,0.006451042966769904,-0.03235204662438562,-0.002049154279262666,-1.0481153951395568,-0.46844766355199813,-0.977655390678033,-0.7115306795959502,-0.8212064946081215,-0.3689785610669831,1.0101
8.27279463728582,2.259999999999991,8.233157894736843,11.34878048780488,-0.07261904761904692,-0.008636860688643111,-0.051419544341536394,-0.008979176832660585,-0.022391787069169666,0.27898724930799207,-0.6671202723417249,-0.6573411421827672,-0.40921544226251905,-0.23985689224978177,-0.9928551103082893,1.0068000000000001
7.609136102837939,-5.030000000000001,8.172173913043478,11.830396475770923,0.6450103519668744,-0.003428778950510747,0.02465769519462846,0.0007925274205824451,0.02052247851872835,0.0027155485225207605,-1.559999831440552,0.46758741632881906,0.5725572734197303,0.17525334208922047,-0.4793694496411378,1.0051
8.92577069430164,-5.159999999999997,7.877142857142856,12.459183673469388,0.06070393374741201,-0.005865119505651606,-0.021947592042248942,-0.004998700099912767,0.018257093154383952,0.12897789989431807,-1.766298477461318,-0.7663664448055363,0.37121403402197234,0.30675539978115557,0.07232615619154224,1.0073999999999999
11.6365046218606,-4.519999999999996,7.949090909090909,13.81726907630522,0.127359307359308,-0.005157359998811728,-0.03030868283356014,-0.0031819329433044885,-0.058098421107905196,-0.05614286355327046,-1.765247911375102,0.4542461108851563,0.7625937640870127,-0.21603049460436477,-0.6107752665936809,1.008
10.4093721483768,-9.659999999999997,8.240434782608697,13.146153846153846,0.4549802371541478,-9.963906801679911e-05,0.035172388564019386,0.022191604258862796,-0.01684760789025752,0.5361347097574111,0.2083439804362207,-2.257291680023936,-0.057387937870561866,1.0227195870079777,-0.11731628789814942,1.0123
5.790976430615619,-7.990000000000009,10.211111111111112,15.462264150943396,1.239065217391305,-0.013956591323118772,-0.019204752871626596,-0.012514313465377569,0.029923759106434744,0.24595001425377358,-1.1413263724141955,-0.4469379104359855,-0.11354044002659204,0.7568224320775608,-1.0247474724254764,1.0151999999999999
3.80166658303375,-17.099999999999994,15.468695652173912,16.57123287671233,4.337021739130437,-0.010693601531722052,0.008058530021076038,0.03012521379713995,-0.04918457231558371,0.23066919510867873,-0.7075410296579654,-0.7735263802471718,0.4649893498526966,0.310985603744094,-1.0908382049561012,1.0221
-0.113785067643567,-14.580000000000005,16.964666666666666,18.07232704402516,-0.6292490118577092,-0.015964673808113616,0.01176111481575326,-0.0642252796355649,-0.01111205236750834,-2.260771666287599,-0.5302506696420362,-0.04075808348624506,0.08831239937443196,0.004641459320001114,-0.9323385498025185,1.0247
3.71404297518019,10.340000000000003,15.116315789473685,15.659763313609467,-1.0477727272727275,-0.004332492500491725,-0.08501682209506534,0.012678891730907083,-0.033551049258862875,0.1587382128762161,0.9586871927449779,-1.837525223479174,-0.8293120624596098,0.2839739824043988,-1.256048566512085,1.0119
1.79561179170934,-2.210000000000001,14.902857142857142,13.967980295566502,-1.0367727272727283,-0.009713409025883024,0.05080862053618951,-0.03672539476966996,-0.0042139776471792345,0.36199967412452605,-0.7846767381846448,-0.1159618130826624,1.2393924016474855,-0.014776418578931331,-1.4083799466874452,1.0101
3.767856020223419,3.6300000000000026,14.357727272727272,14.32905982905983,-1.2495454545454532,-0.00827304520881178,-0.02555304203741393,-0.035831959213496134,-0.014562970510706208,-1.322120977636249,0.5418954419145836,0.8450347066040822,-0.420063414300136,-0.86425939186724,-0.6531255749497888,1.0134
4.59063797129913,4.559999999999995,12.828333333333331,14.994845360824742,-0.21603896103896147,-0.0016524649722189366,-0.019507628520365472,0.04131782892419977,-0.031053247998396927,-0.2241441127396483,-0.5347037477670367,-0.5214262902744607,0.6343092127391974,0.7697424256631024,-0.6418100460961181,1.0094
5.371431602669159,-2.6000000000000014,12.503333333333334,13.9452,-0.27623376623376394,-0.006091949465060864,0.015504604236275199,0.005201290359448052,0.004972943853163159,-1.436351028145792,-0.919001195596242,0.1716152251558882,0.10724931110051038,0.15357431495718124,-1.0047808039425532,1.0083
8.67230938898676,-4.919999999999995,11.524347826086956,14.76112759644,0.08083003952569179,-0.008179822764779132,-0.02533820629300898,-0.016811413359512528,-0.020330762108887512,-0.5865062560130506,-0.4446306387150137,-1.195934160757077,0.032205748896064854,0.3212932995925576,-1.3612777579368536,1.008
